prot	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190808yix_HCCC_b5_14-HCCC_b5_14.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190808yix_HCCC_b5_15-HCCC_b5_15.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190809yix_HCCC_b6_7-HCCC_b6_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190809yix_HCCC_b6_8-HCCC_b6_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190810yix_HCCC_b7_7-HCCC_b7_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190810yix_HCCC_b7_8-HCCC_b7_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190811yix_HCCC_b8_5-HCCC_b8_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190811yix_HCCC_b8_6-HCCC_b8_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190813yix_HCCC_b10_3-HCCC_b10_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190813yix_HCCC_b10_4-HCCC_b10_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190814yix_HCCC_b11_3-HCCC_b11_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190814yix_HCCC_b11_4-HCCC_b11_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190815yix_HCCC_b12_12-HCCC_b12_12.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190815yix_HCCC_b12_13-HCCC_b12_13.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190818yix_HCCC_b14_4-HCCC_b14_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190818yix_HCCC_b14_4_repA-HCCC_b14_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190829yix_HCCC_b23_8-HCCC_b23_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_3-HCCC_b24_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_4-HCCC_b24_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_4_repA-HCCC_b24_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_5-HCCC_b24_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_11-HCCC_b17_11.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_12-HCCC_b17_12.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_5-HCCC_b17_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_6-HCCC_b17_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190823yix_HCCC_b18_8-HCCC_b18_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190823yix_HCCC_b18_9-HCCC_b18_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190824yix_HCCC_b19_13-HCCC_b19_13.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190824yix_HCCC_b19_14-HCCC_b19_14.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190827yix_HCCC_b21_7-HCCC_b21_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190818yix_HCCC_b14_5-HCCC_b14_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190827yix_HCCC_b21_9-HCCC_b21_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_10-HCCC_b22_10.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_11-HCCC_b22_11.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_7-HCCC_b22_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_9-HCCC_b22_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190829yix_HCCC_b23_10-HCCC_b23_10.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190829yix_HCCC_b23_9-HCCC_b23_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190808yix_HCCC_b5_13-HCCC_b5_13.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190809yix_HCCC_b6_6-HCCC_b6_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190810yix_HCCC_b7_6-HCCC_b7_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190811yix_HCCC_b8_4-HCCC_b8_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190811yix_HCCC_b8_4_repA-HCCC_b8_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190813yix_HCCC_b10_2-HCCC_b10_2.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190813yix_HCCC_b10_2_repA-HCCC_b10_2_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190814yix_HCCC_b11_2-HCCC_b11_2.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190814yix_HCCC_b11_2_repA-HCCC_b11_2_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190815yix_HCCC_b12_11-HCCC_b12_11.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190818yix_HCCC_b14_3-HCCC_b14_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190822yix_HCCC_b17_10-HCCC_b17_10.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190822yix_HCCC_b17_4-HCCC_b17_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190822yix_HCCC_b17_4_repA-HCCC_b17_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190823yix_HCCC_b18_7-HCCC_b18_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190824yix_HCCC_b19_12-HCCC_b19_12.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190827yix_HCCC_b21_6-HCCC_b21_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190828yix_HCCC_b22_6-HCCC_b22_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190828yix_HCCC_b22_8-HCCC_b22_8.mzML
A0A075B6H9	NA	NA	321.631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1569.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2455.56	980.501	NA
A0A075B6I0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3933.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10768.9	NA
A0A075B6I9;P04211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2597.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3216.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	4605.85	5238.11	5690.28	4175.79	3208.44	4062.93	NA	4745.42	NA	NA	NA	NA	NA	7157.21	NA	NA
A0A075B6K5;P80748	NA	NA	1121.62	NA	130.035	NA	NA	245.532	NA	28.0195	NA	NA	NA	NA	323.55	319.643	410.785	15010.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	283.364	NA	652.516	NA	NA	785.121	801.193	235.709	527.811	454.437	26.7986	NA	213.133	NA	NA	NA	959.59	1850.92	225.173	385.757	448.871	NA	126.279	349.556	622.79	3547.11	12468.3	723.072
A0A075B6R9;A0A0C4DH68	NA	513.97	NA	NA	NA	NA	NA	450.578	NA	NA	NA	NA	NA	NA	NA	NA	1404.82	2528.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	559.088	442.016	NA	NA	NA	NA	1385.5	NA	NA	NA	NA	1625.73	NA	NA	NA	553.447	844.717	NA	NA	NA	NA	NA	NA	NA	2003.2	545.739	NA
A0A0A0MRZ8;P04433	6260.81	1156.66	50196.5	2588.09	13310.3	NA	4691.23	31867.6	13109.5	1910.48	NA	2344.43	NA	2340.85	25459.2	21520.4	42292	21492.2	9508.45	4478.71	8711.75	1243.42	15156.8	NA	1006.88	NA	NA	4149.43	3713.05	8975.62	8874.15	24424.8	6149.32	3956.64	15792.2	9835.33	22056.4	24045.3	28600.8	6284.29	7319.68	33964.7	37736.4	7733.83	9412.18	48146.4	38776.5	3852.72	62325.9	29019.2	8483.98	6124.79	39835.4	10030.1	42728.2	61666	8090.67
A0A0A0MS15	NA	3683.07	1814.9	116.555	NA	NA	NA	1995.38	NA	NA	NA	755.479	NA	NA	815.919	2534.35	2885.04	5341.01	978.531	967.103	2175.93	NA	NA	430.254	NA	NA	1150.27	1907.14	NA	1272.08	1678.27	4758.17	2827.13	NA	492.717	1202.51	1612.44	NA	1692.08	NA	NA	4016.62	NA	NA	554.462	1720.6	3184.47	1189.12	NA	NA	1593.69	362.29	2272.94	NA	5401.52	8366.87	605.951
A0A0B4J1V0	NA	NA	1631.23	NA	NA	NA	NA	1237.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	943.282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1047.98	NA	NA	NA	NA	NA	NA	931.901	NA	NA	NA	NA	NA	NA	NA	NA	1283.8	1356.09	NA	NA	NA	NA	NA	1258.77	2283.42	NA
A0A0B4J1X5	NA	4564.74	NA	1912.93	3318.12	NA	NA	7373.13	NA	NA	NA	NA	NA	NA	4200.83	2789.99	6129.25	24385.6	NA	NA	4081.91	NA	NA	NA	NA	1802.34	NA	NA	NA	NA	NA	14871.4	NA	NA	12011.5	6488.21	NA	5774.67	NA	NA	NA	NA	NA	NA	NA	9698.06	8609.6	NA	10596.6	NA	NA	2517.77	NA	NA	8958.11	NA	NA
A0A0B4J1Y9	NA	NA	NA	725.999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	331.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	678.785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J2A2;A0A075B759;A0A075B767;P0DN26;P0DN37;F5H284	NA	NA	NA	NA	NA	914.526	NA	NA	NA	NA	581.369	NA	NA	NA	NA	NA	NA	529.986	630.654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	599.594	795.454	777.212	787.784	1730.97	NA	NA	NA	NA	676.672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	613.013	364
A0A0B4J2A2;Q9Y536;A0A075B759;A0A075B767;P0DN26;P0DN37;P62937;F5H284	NA	199364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	177147	NA	NA	NA	NA	NA	NA	NA	381267	NA	NA	NA	NA	NA	173014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J2A2;Q9Y536;A0A075B759;A0A075B767;P0DN26;P62937;F5H284	NA	NA	256246	292252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	187274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH25	NA	2179.16	33159.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16379.2	11989.2	NA	2683.06	3227.41	NA	NA	NA	NA	NA	NA	1676.23	NA	2835.88	NA	10608.4	NA	NA	25658.4	NA	12670.2	7769.46	11318.6	NA	NA	NA	10681	NA	NA	NA	12405	NA	8579.05	NA	NA	NA	NA	NA	24176.6	8038.03	5487.99
A0A0C4DH34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2372.72	1434.1	NA	NA	1261.99	NA	1204.26	NA	NA	NA	NA	NA	NA	2606.77	NA	NA	NA	NA	NA	NA	5524.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1138.78	1444.62	NA	685.067	NA	NA	2740.51	NA	NA
A0A0C4DH55;A0A075B6H7;P01624	17035.2	25792	66323	11540.4	20294.7	NA	9070.43	35528.7	12451.9	5389.98	14781.6	12427.5	10801.2	3292.46	27460	26567.6	60119.7	34811.2	8442.55	8237.11	10222.1	2993.48	11224.4	6515.38	5297.38	5245.41	4570.48	6032.9	4592.01	16544.1	17954.4	38488.5	9973.22	11385.2	27435.9	16148.1	49995.7	32503.5	47373	15323.7	21159.3	54749.9	59979.1	46388.6	36954.2	53539.6	69612	25684.4	92631.9	43942.3	35010.8	26544	54588.6	14647.8	72307.8	83352.1	11801
A0A0J9YXX1;A0A0C4DH38	NA	NA	406.974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	509.354	768.717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1166.6	NA	NA	NA	NA	NA	NA	NA	NA	27500.5	664.555	NA	NA	NA	NA	NA	1358.25	1232.21	NA
A0A140G945;P02489	31433.3	NA	7018.47	57106.2	NA	NA	NA	NA	346.571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6814.87	NA	NA	NA	NA	523.136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12288.9	7465.9	5213.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUA6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1910.48	NA	NA	NA	465.092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GWK0	NA	1391.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1688.52	4996.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1W2PR48	37489.9	NA	6499.33	NA	NA	NA	11094.5	66909.8	1744.92	21727.8	NA	15418.8	38849.2	60988.3	29686.5	NA	46639.9	NA	NA	42401.8	NA	17094.1	35353.3	NA	NA	46858.7	33004.9	50584.4	6052.63	84534.1	NA	NA	NA	NA	NA	58287.5	22313.9	209161	NA	NA	NA	94068.3	84417.2	NA	2986.79	6026.03	NA	NA	32322.4	45975.3	NA	NA	NA	NA	13292.9	31591	NA
A0A2Z4LIS9;P0CG31	511.295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	535.925	NA	NA	NA	NA	NA	526.206	NA	NA	NA	NA	2084.25	NA	NA	NA	NA	NA	NA	NA	NA	2187.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0AUZ9	NA	18972.9	NA	NA	NA	7135.83	NA	9961.51	1645.92	NA	NA	NA	NA	NA	NA	NA	24567.4	2730.37	NA	NA	9287.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16946.4	17734.1	1820.9	NA	NA	NA	NA	16834.8	6330.27	3336.62	21457.5	20870.8	NA	1670.55	13927.2	NA	NA	NA	NA	14699.2	NA	NA
A0AV96	NA	NA	285.228	NA	NA	NA	NA	NA	NA	NA	NA	675.305	NA	NA	NA	520.823	NA	1883.06	1263.95	3336	1025.59	NA	NA	NA	NA	NA	NA	220.23	NA	NA	NA	NA	NA	515.509	NA	NA	NA	308.751	NA	1300.69	NA	NA	NA	1203.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1498.11	NA
A0AVT1	568.547	2576.28	2907.21	894.545	NA	NA	NA	3370.98	2079.73	3967.2	2495.33	NA	NA	1706.23	504.903	NA	2559.33	4570.27	4117.23	4032.2	3972.09	NA	NA	1113.76	2260.03	538.814	1297.41	NA	NA	2803.3	305.132	3812.72	1893.9	NA	11844.7	4723.89	2742.65	721.312	2760.24	2444.97	5280.7	564.18	854.885	337.591	2746.13	3408.21	2980.64	1405.82	1756.94	NA	1674.73	1457.51	3612.14	2373.64	3434.06	6668.74	8508.28
A0FGR8	NA	NA	349.259	NA	NA	1480.56	819.296	526.024	892.224	384.041	NA	NA	NA	NA	NA	NA	1417.53	1591.37	1636.58	2130.7	1216.4	NA	NA	407.915	1335.65	NA	NA	727.01	1308.29	NA	NA	1559.46	5533.32	775.929	1177.09	2583.38	1395.16	1279.27	1048.98	729.41	NA	1024.29	6642.43	NA	NA	635.526	NA	1273.7	207.033	268.407	NA	292.911	795.604	1058.67	2096.98	1306.63	1567.22
