NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GATM	glycine amidinotransferase [Source:HGNC Symbol;Acc:HGNC:4175]	0	1.0570560693740845	0.055707313	Yes	
row_1	GAMT	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	11	0.8612722754478455	0.09951969	Yes	
row_2	AGMAT	agmatinase [Source:HGNC Symbol;Acc:HGNC:18407]	39	0.7856649160385132	0.13666657	Yes	
row_3	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	75	0.7303404211997986	0.16963619	Yes	
row_4	ALDH4A1	aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]	80	0.7237547039985657	0.20714757	Yes	
row_5	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	107	0.6978362798690796	0.23982354	Yes	
row_6	CPS1	carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]	230	0.6340519785881042	0.2539985	Yes	
row_7	GLUD2	glutamate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4336]	246	0.628986120223999	0.28478077	Yes	
row_8	ASL	argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]	264	0.6191816329956055	0.31473094	Yes	
row_9	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]	267	0.6181349754333496	0.3469915	Yes	
row_10	ALDH3A2	aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]	268	0.6175125241279602	0.3795347	Yes	
row_11	OTC	ornithine carbamoyltransferase [Source:HGNC Symbol;Acc:HGNC:8512]	306	0.607541024684906	0.40571734	Yes	
row_12	SAT2	spermidine/spermine N1-acetyltransferase family member 2 [Source:HGNC Symbol;Acc:HGNC:23160]	337	0.5962576270103455	0.43240926	Yes	
row_13	MAOB	monoamine oxidase B [Source:HGNC Symbol;Acc:HGNC:6834]	365	0.5878114700317383	0.45912915	Yes	
row_14	ARG1	arginase 1 [Source:HGNC Symbol;Acc:HGNC:663]	398	0.5773235559463501	0.48450786	Yes	
row_15	ALDH7A1	aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]	450	0.5606938004493713	0.50601375	Yes	
row_16	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	472	0.5530959963798523	0.5318504	Yes	
row_17	ALDH1B1	aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]	586	0.5209389925003052	0.5414836	Yes	
row_18	GLUD1	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	671	0.5018762350082397	0.55468553	Yes	
row_19	PYCR3	pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846]	690	0.4986500144004822	0.57812595	Yes	
row_20	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	733	0.48984581232070923	0.59731746	Yes	
row_21	DAO	D-amino acid oxidase [Source:HGNC Symbol;Acc:HGNC:2671]	813	0.47471892833709717	0.60987675	Yes	
row_22	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	954	0.45022496581077576	0.61152524	Yes	
row_23	NAGS	N-acetylglutamate synthase [Source:HGNC Symbol;Acc:HGNC:17996]	1014	0.43737033009529114	0.62527037	Yes	
row_24	GOT2	glutamic-oxaloacetic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4433]	1056	0.43132832646369934	0.6415357	Yes	
row_25	PRODH2	proline dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:17325]	1129	0.4173838794231415	0.65217733	Yes	
row_26	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	1739	0.3248758912086487	0.5732568	No	
row_27	ALDH18A1	aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]	2039	0.28567731380462646	0.5411587	No	
row_28	SMS	spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]	2051	0.2845771014690399	0.55442125	No	
row_29	GLS2	glutaminase 2 [Source:HGNC Symbol;Acc:HGNC:29570]	2290	0.256232887506485	0.53039134	No	
row_30	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	2364	0.24808897078037262	0.53195333	No	
row_31	NOS3	nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876]	2563	0.22207435965538025	0.5124314	No	
row_32	PRODH	proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]	2686	0.20755508542060852	0.50412977	No	
row_33	PYCR2	pyrroline-5-carboxylate reductase 2 [Source:HGNC Symbol;Acc:HGNC:30262]	2996	0.17168617248535156	0.4644472	No	
row_34	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	3007	0.17054645717144012	0.47185805	No	
row_35	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	3383	0.12860077619552612	0.41949642	No	
row_36	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	3902	0.06888917088508606	0.34143633	No	
row_37	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	3918	0.06798069179058075	0.3426534	No	
row_38	OAT	ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]	5009	-0.06084435060620308	0.17396273	No	
row_39	PYCR1	pyrroline-5-carboxylate reductase 1 [Source:HGNC Symbol;Acc:HGNC:9721]	5616	-0.1584705412387848	0.086745664	No	
row_40	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	5750	-0.18843746185302734	0.075701796	No	
row_41	CKMT1B	creatine kinase, mitochondrial 1B [Source:HGNC Symbol;Acc:HGNC:1995]	6317	-0.451785683631897	0.010250723	No	
