NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	154	0.6673244833946228	0.050861012	No	
row_1	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	361	0.5897013545036316	0.08479417	No	
row_2	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	1512	0.3569221496582031	-0.05616008	No	
row_3	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	2211	0.26576900482177734	-0.13618259	No	
row_4	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	3048	0.1667497307062149	-0.24908683	No	
row_5	CTNNA1	catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]	3131	0.15708760917186737	-0.24431983	No	
row_6	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	3187	0.15107876062393188	-0.23597656	No	
row_7	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	3197	0.1504100263118744	-0.22046334	No	
row_8	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	3232	0.145086869597435	-0.20948693	No	
row_9	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	3255	0.14190258085727692	-0.1969789	No	
row_10	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	3455	0.11913364380598068	-0.21491225	No	
row_11	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	4413	0.013366779312491417	-0.36414	No	
row_12	EMD	emerin [Source:HGNC Symbol;Acc:HGNC:3331]	4467	0.007250694558024406	-0.37167162	No	
row_13	DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]	4933	-0.049380358308553696	-0.43935305	No	
row_14	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	4945	-0.050602905452251434	-0.43538952	No	
row_15	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	4987	-0.057945821434259415	-0.4353246	No	
row_16	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	5039	-0.06577195972204208	-0.43595383	No	
row_17	SGCD	sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]	5059	-0.06836101412773132	-0.4312514	No	
row_18	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	5266	-0.09795785695314407	-0.45267093	No	
row_19	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	5281	-0.10041577368974686	-0.4435728	No	
row_20	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	5431	-0.12628154456615448	-0.45282626	No	
row_21	ITGA1	integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	5660	-0.16702476143836975	-0.46993646	No	
row_22	DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	5994	-0.25177597999572754	-0.4940447	Yes	
row_23	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	6118	-0.2982749342918396	-0.47984278	Yes	
row_24	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	6123	-0.29992470145225525	-0.44671205	Yes	
row_25	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399]	6189	-0.32817721366882324	-0.4200089	Yes	
row_26	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	6223	-0.3511660099029541	-0.38567787	Yes	
row_27	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	6293	-0.41428908705711365	-0.34991163	Yes	
row_28	DSG2	desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]	6304	-0.43129995465278625	-0.30293778	Yes	
row_29	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	6305	-0.4343719184398651	-0.25404307	Yes	
row_30	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	6307	-0.43523865938186646	-0.20520833	Yes	
row_31	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	6361	-0.562480628490448	-0.15024097	Yes	
row_32	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	6373	-0.6670523285865784	-0.07688736	Yes	
row_33	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	6376	-0.6942473649978638	9.449723E-4	Yes	
