NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	74	0.7313722372055054	0.04002418	No	
row_1	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	123	0.6832584142684937	0.08075371	No	
row_2	SDC2	syndecan 2 [Source:HGNC Symbol;Acc:HGNC:10659]	1061	0.43059417605400085	-0.03682471	No	
row_3	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	2010	0.28836947679519653	-0.16619745	No	
row_4	RELN	reelin [Source:HGNC Symbol;Acc:HGNC:9957]	2084	0.2811841666698456	-0.1578476	No	
row_5	THBS4	thrombospondin 4 [Source:HGNC Symbol;Acc:HGNC:11788]	2414	0.24014627933502197	-0.19284184	No	
row_6	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	2893	0.18239693343639374	-0.25545818	No	
row_7	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	3048	0.1667497307062149	-0.26799607	No	
row_8	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	3197	0.1504100263118744	-0.28074145	No	
row_9	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	3232	0.145086869597435	-0.27585378	No	
row_10	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	3255	0.14190258085727692	-0.2692955	No	
row_11	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	3455	0.11913364380598068	-0.29230928	No	
row_12	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	4244	0.03211354836821556	-0.41452515	No	
row_13	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	4945	-0.050602905452251434	-0.5215316	No	
row_14	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	5039	-0.06577195972204208	-0.5315729	No	
row_15	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	5077	-0.07015156745910645	-0.5324577	No	
row_16	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	5205	-0.08957871794700623	-0.54618686	No	
row_17	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	5213	-0.09066292643547058	-0.54088205	No	
row_18	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	5263	-0.09717089682817459	-0.5417521	No	
row_19	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	5358	-0.1131143644452095	-0.54860383	Yes	
row_20	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	5398	-0.11903399974107742	-0.5463482	Yes	
row_21	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	5431	-0.12628154456615448	-0.54247427	Yes	
row_22	LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	5466	-0.13264034688472748	-0.53846663	Yes	
row_23	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	5513	-0.13985247910022736	-0.5358448	Yes	
row_24	COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	5524	-0.14117072522640228	-0.5274426	Yes	
row_25	THBS3	thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]	5560	-0.1482243835926056	-0.52249104	Yes	
row_26	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	5614	-0.1583402156829834	-0.51966774	Yes	
row_27	LAMA5	laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	5631	-0.16158650815486908	-0.5107698	Yes	
row_28	ITGA1	integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	5660	-0.16702476143836975	-0.50338304	Yes	
row_29	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	5745	-0.18641452491283417	-0.50347203	Yes	
row_30	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	5834	-0.21139584481716156	-0.5024265	Yes	
row_31	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	5851	-0.21611158549785614	-0.48967314	Yes	
row_32	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	5854	-0.21672669053077698	-0.47466457	Yes	
row_33	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	5909	-0.2330743372440338	-0.46671495	Yes	
row_34	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	5918	-0.23487910628318787	-0.45137072	Yes	
row_35	LAMA4	laminin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6484]	5997	-0.25199687480926514	-0.44587457	Yes	
row_36	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	6070	-0.2804085612297058	-0.4374216	Yes	
row_37	THBS2	thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]	6105	-0.2941145598888397	-0.4219963	Yes	
row_38	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	6118	-0.2982749342918396	-0.40280133	Yes	
row_39	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	6163	-0.315629243850708	-0.38743457	Yes	
row_40	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	6192	-0.328424870967865	-0.3686354	Yes	
row_41	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	6195	-0.33046555519104004	-0.34558448	Yes	
row_42	LAMB1	laminin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6486]	6204	-0.3373664319515228	-0.3229935	Yes	
row_43	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	6227	-0.35251879692077637	-0.30154276	Yes	
row_44	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	6267	-0.38180726766586304	-0.28070673	Yes	
row_45	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	6293	-0.41428908705711365	-0.25536224	Yes	
row_46	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	6295	-0.4220089316368103	-0.22568041	Yes	
row_47	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	6300	-0.42772966623306274	-0.19606802	Yes	
