NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGL1	fibrinogen like 1 [Source:HGNC Symbol;Acc:HGNC:3695]	714	0.4938093423843384	-0.09357101	No	
row_1	CRELD1	cysteine rich with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:14630]	751	0.4870448410511017	-0.07932018	No	
row_2	PRG4	proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]	1026	0.43604403734207153	-0.10510909	No	
row_3	IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	1029	0.43557435274124146	-0.08754993	No	
row_4	ADIPOQ	adiponectin, C1Q and collagen domain containing [Source:HGNC Symbol;Acc:HGNC:13633]	1289	0.38902604579925537	-0.11287711	No	
row_5	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	1794	0.31576603651046753	-0.18027371	No	
row_6	CRELD2	cysteine rich with EGF like domains 2 [Source:HGNC Symbol;Acc:HGNC:28150]	1854	0.3091992139816284	-0.1769896	No	
row_7	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	2004	0.2895011007785797	-0.18886349	No	
row_8	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	2010	0.28836947679519653	-0.17782463	No	
row_9	RELN	reelin [Source:HGNC Symbol;Acc:HGNC:9957]	2084	0.2811841666698456	-0.17792253	No	
row_10	MMRN2	multimerin 2 [Source:HGNC Symbol;Acc:HGNC:19888]	2154	0.2721542716026306	-0.1777533	No	
row_11	COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	2345	0.25054091215133667	-0.19776328	No	
row_12	THBS4	thrombospondin 4 [Source:HGNC Symbol;Acc:HGNC:11788]	2414	0.24014627933502197	-0.19874838	No	
row_13	MFAP5	microfibril associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29673]	2759	0.19929881393909454	-0.24541515	No	
row_14	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	2893	0.18239693343639374	-0.25913408	No	
row_15	FGB	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	3097	0.16093170642852783	-0.28489473	No	
row_16	COL18A1	collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195]	3215	0.1476275622844696	-0.29748973	No	
row_17	SRPX	sushi repeat containing protein X-linked [Source:HGNC Symbol;Acc:HGNC:11309]	3608	0.10222379118204117	-0.355794	No	
row_18	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	4012	0.05828215554356575	-0.41765565	No	
row_19	LTBP4	latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:HGNC:6717]	4282	0.02734670229256153	-0.45942223	No	
row_20	LRG1	leucine rich alpha-2-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:29480]	4317	0.023344768211245537	-0.46388498	No	
row_21	MFAP1	microfibril associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7032]	4325	0.022778166458010674	-0.46406612	No	
row_22	VWA1	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]	4366	0.018377888947725296	-0.46968937	No	
row_23	MATN2	matrilin 2 [Source:HGNC Symbol;Acc:HGNC:6908]	4482	0.005581711884588003	-0.4877957	No	
row_24	SPON1	spondin 1 [Source:HGNC Symbol;Acc:HGNC:11252]	4532	-5.416523781605065E-4	-0.49558598	No	
row_25	OGN	osteoglycin [Source:HGNC Symbol;Acc:HGNC:8126]	4713	-0.02136380411684513	-0.5234081	No	
row_26	ECM1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	4837	-0.03598501905798912	-0.54154205	No	
row_27	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	4862	-0.04079360514879227	-0.54369426	No	
row_28	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	5077	-0.07015156745910645	-0.5749348	No	
row_29	ASPN	asporin [Source:HGNC Symbol;Acc:HGNC:14872]	5183	-0.08644495159387589	-0.58812773	No	
row_30	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	5205	-0.08957871794700623	-0.5877992	No	
row_31	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	5213	-0.09066292643547058	-0.58519405	No	
row_32	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	5262	-0.09713666141033173	-0.58886015	Yes	
row_33	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	5263	-0.09717089682817459	-0.5848718	Yes	
row_34	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	5278	-0.10006636381149292	-0.5829968	Yes	
row_35	MMRN1	multimerin 1 [Source:HGNC Symbol;Acc:HGNC:7178]	5293	-0.10146431624889374	-0.58106434	Yes	
row_36	SRPX2	sushi repeat containing protein X-linked 2 [Source:HGNC Symbol;Acc:HGNC:30668]	5299	-0.10224927216768265	-0.57766473	Yes	
row_37	ABI3BP	ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]	5344	-0.10996809601783752	-0.5801664	Yes	
row_38	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	5358	-0.1131143644452095	-0.57759637	Yes	
row_39	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	5374	-0.11561509966850281	-0.5752426	Yes	
row_40	EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]	5396	-0.11867112666368484	-0.57372	Yes	
row_41	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	5398	-0.11903399974107742	-0.5689937	Yes	
row_42	COL15A1	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	5400	-0.11921083182096481	-0.5642601	Yes	
row_43	MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	5420	-0.12440967559814453	-0.56218314	Yes	
row_44	LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	5466	-0.13264034688472748	-0.56391364	Yes	
row_45	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	5513	-0.13985247910022736	-0.56550765	Yes	
row_46	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	5517	-0.1404891312122345	-0.56021965	Yes	
row_47	COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	5524	-0.14117072522640228	-0.55538195	Yes	
row_48	MGP	matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]	5525	-0.14124463498592377	-0.54958457	Yes	
row_49	HMCN1	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]	5558	-0.1478513479232788	-0.54861814	Yes	
row_50	THBS3	thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]	5560	-0.1482243835926056	-0.54269373	Yes	
row_51	PODN	podocan [Source:HGNC Symbol;Acc:HGNC:23174]	5595	-0.15453043580055237	-0.54177195	Yes	
row_52	POSTN	periostin [Source:HGNC Symbol;Acc:HGNC:16953]	5599	-0.15582901239395142	-0.53585434	Yes	
row_53	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	5609	-0.15711499750614166	-0.5308405	Yes	
