NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANGPTL3	angiopoietin like 3 [Source:HGNC Symbol;Acc:HGNC:491]	1320	0.3843964636325836	-0.14646235	No	
row_1	INHBE	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	3167	0.15293161571025848	-0.41260752	No	
row_2	PPBP	pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]	3374	0.12979145348072052	-0.42433658	No	
row_3	FLG2	filaggrin family member 2 [Source:HGNC Symbol;Acc:HGNC:33276]	3415	0.12504124641418457	-0.41069767	No	
row_4	HCFC1	host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839]	3685	0.09411054849624634	-0.43803	No	
row_5	GDF15	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]	3748	0.08628899604082108	-0.4340314	No	
row_6	S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]	3775	0.08300187438726425	-0.42489108	No	
row_7	ANGPTL6	angiopoietin like 6 [Source:HGNC Symbol;Acc:HGNC:23140]	4015	0.05813996493816376	-0.45323646	No	
row_8	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	4284	0.02692747674882412	-0.4911218	No	
row_9	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	4953	-0.051934536546468735	-0.587973	No	
row_10	CCL21	C-C motif chemokine ligand 21 [Source:HGNC Symbol;Acc:HGNC:10620]	5025	-0.06293895840644836	-0.5891133	No	
row_11	EGFL7	EGF like domain multiple 7 [Source:HGNC Symbol;Acc:HGNC:20594]	5054	-0.06781119853258133	-0.58270943	No	
row_12	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	5117	-0.07673933357000351	-0.5802332	No	
row_13	CRLF3	cytokine receptor like factor 3 [Source:HGNC Symbol;Acc:HGNC:17177]	5320	-0.10587058961391449	-0.59514624	Yes	
row_14	ZFP91	ZFP91 zinc finger protein, atypical E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:14983]	5389	-0.11784414947032928	-0.58706135	Yes	
row_15	IL16	interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]	5509	-0.13919612765312195	-0.583599	Yes	
row_16	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	5697	-0.1761985421180725	-0.58493954	Yes	
row_17	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	5785	-0.19794495403766632	-0.56707513	Yes	
row_18	ANGPTL2	angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]	5815	-0.2061535120010376	-0.538774	Yes	
row_19	S100B	S100 calcium binding protein B [Source:HGNC Symbol;Acc:HGNC:10500]	5875	-0.22282859683036804	-0.512536	Yes	
row_20	S100A16	S100 calcium binding protein A16 [Source:HGNC Symbol;Acc:HGNC:20441]	6145	-0.3072628378868103	-0.50588745	Yes	
row_21	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	6167	-0.316468745470047	-0.45874074	Yes	
row_22	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	6172	-0.3195716440677643	-0.4084239	Yes	
row_23	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	6206	-0.3379576504230499	-0.35974002	Yes	
row_24	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	6213	-0.3406754434108734	-0.30637354	Yes	
row_25	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	6280	-0.39523881673812866	-0.2537514	Yes	
row_26	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	6294	-0.41895508766174316	-0.18900721	Yes	
row_27	S100A14	S100 calcium binding protein A14 [Source:HGNC Symbol;Acc:HGNC:18901]	6320	-0.4567168056964874	-0.120131575	Yes	
row_28	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	6382	-0.8137702941894531	7.962808E-8	Yes	
