NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGSF8	immunoglobulin superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:17813]	1317	0.38496410846710205	-0.17458066	No	
row_1	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	1794	0.31576603651046753	-0.22239469	No	
row_2	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	2004	0.2895011007785797	-0.23033468	No	
row_3	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	2010	0.28836947679519653	-0.20617054	No	
row_4	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	2433	0.23745447397232056	-0.25223702	No	
row_5	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	2465	0.23463352024555206	-0.23682699	No	
row_6	CD81	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	2878	0.1844453364610672	-0.28590193	No	
row_7	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	2893	0.18239693343639374	-0.2723286	No	
row_8	FGB	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	3097	0.16093170642852783	-0.2904469	No	
row_9	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	3197	0.1504100263118744	-0.293059	No	
row_10	COL18A1	collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195]	3215	0.1476275622844696	-0.28296787	No	
row_11	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	3255	0.14190258085727692	-0.27684492	No	
row_12	F13A1	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	4185	0.0385504849255085	-0.42015466	No	
row_13	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	4945	-0.050602905452251434	-0.5355864	No	
