NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	703	0.4960368871688843	-0.07247466	No	
row_1	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	781	0.4807576835155487	-0.04709258	No	
row_2	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	1565	0.34868693351745605	-0.14373915	No	
row_3	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	1617	0.3405754864215851	-0.12519675	No	
row_4	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	2010	0.28836947679519653	-0.16468935	No	
row_5	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	2213	0.26568475365638733	-0.1758912	No	
row_6	CAPN7	calpain 7 [Source:HGNC Symbol;Acc:HGNC:1484]	2249	0.2609979808330536	-0.16103522	No	
row_7	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase [Source:HGNC Symbol;Acc:HGNC:28249]	2362	0.24810421466827393	-0.15937027	No	
row_8	CAPN6	calpain 6 [Source:HGNC Symbol;Acc:HGNC:1483]	2498	0.22956514358520508	-0.16279319	No	
row_9	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	2893	0.18239693343639374	-0.21088275	No	
row_10	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	3106	0.1595153659582138	-0.23196279	No	
row_11	COL18A1	collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195]	3215	0.1476275622844696	-0.23751602	No	
row_12	MMP12	matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]	3360	0.13128817081451416	-0.2500422	No	
row_13	CAPNS1	calpain small subunit 1 [Source:HGNC Symbol;Acc:HGNC:1481]	3507	0.11355818808078766	-0.2642702	No	
row_14	CAPN5	calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]	3708	0.09171530604362488	-0.28874928	No	
row_15	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	4012	0.05828215554356575	-0.33213824	No	
row_16	KLKB1	kallikrein B1 [Source:HGNC Symbol;Acc:HGNC:6371]	4085	0.049109216779470444	-0.33969334	No	
