NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACOT1	acyl-CoA thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:33128]	15	0.8412820100784302	0.003610236	Yes	
row_1	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]	17	0.8338526487350464	0.009511072	Yes	
row_2	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	28	0.8035224676132202	0.013683896	Yes	
row_3	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	30	0.7991124391555786	0.019331912	Yes	
row_4	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	33	0.7937427163124084	0.024773374	Yes	
row_5	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	38	0.7891542315483093	0.029846491	Yes	
row_6	ACOT13	acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]	42	0.7802228927612305	0.035022087	Yes	
row_7	GK	glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]	46	0.7757523655891418	0.04016515	Yes	
row_8	ECI2	enoyl-CoA delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:14601]	47	0.7715610265731812	0.045780137	Yes	
row_9	PCTP	phosphatidylcholine transfer protein [Source:HGNC Symbol;Acc:HGNC:8752]	56	0.757515549659729	0.0499531	Yes	
row_10	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	57	0.7560883164405823	0.055455487	Yes	
row_11	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	59	0.7541366815567017	0.060776193	Yes	
row_12	PCCB	propionyl-CoA carboxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8654]	62	0.7513064742088318	0.06590883	Yes	
row_13	SEC24A	SEC24 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10703]	63	0.7488740086555481	0.07135871	Yes	
row_14	SULT2A1	sulfotransferase family 2A member 1 [Source:HGNC Symbol;Acc:HGNC:11458]	66	0.7430014610290527	0.07643091	Yes	
row_15	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	69	0.7386442422866821	0.08147139	Yes	
row_16	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	73	0.7343188524246216	0.08631293	Yes	
