NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOC2	apolipoprotein C2 [Source:HGNC Symbol;Acc:HGNC:609]	1	0.9914716482162476	0.021351254	Yes	
row_1	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	21	0.8155373334884644	0.036011424	Yes	
row_2	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	26	0.807066798210144	0.05288283	Yes	
row_3	PCCB	propionyl-CoA carboxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8654]	62	0.7513064742088318	0.063594766	Yes	
row_4	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	74	0.7313722372055054	0.07770623	Yes	
row_5	PCCA	propionyl-CoA carboxylase subunit alpha [Source:HGNC Symbol;Acc:HGNC:8653]	76	0.729317843914032	0.09336981	Yes	
row_6	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	86	0.7173433303833008	0.10749625	Yes	
row_7	COQ5	coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]	98	0.7063350081443787	0.121064514	Yes	
row_8	MTHFS	methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]	121	0.6841958165168762	0.1323961	Yes	
row_9	COQ7	coenzyme Q7, hydroxylase [Source:HGNC Symbol;Acc:HGNC:2244]	125	0.6817377209663391	0.14670804	Yes	
row_10	MCCC2	methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]	131	0.6774457693099976	0.16060753	Yes	
row_11	QPRT	quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:9755]	135	0.6761886477470398	0.17479908	Yes	
row_12	COQ3	coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]	152	0.6694057583808899	0.18676779	Yes	
row_13	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	162	0.6633878350257874	0.19972362	Yes	
row_14	MMAB	metabolism of cobalamin associated B [Source:HGNC Symbol;Acc:HGNC:19331]	167	0.6613320112228394	0.21343316	Yes	
row_15	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	179	0.6561226844787598	0.22591203	Yes	
row_16	NFS1	NFS1 cysteine desulfurase [Source:HGNC Symbol;Acc:HGNC:15910]	188	0.6532362699508667	0.23880726	Yes	
row_17	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	198	0.6476067304611206	0.2514207	Yes	
row_18	SPR	sepiapterin reductase [Source:HGNC Symbol;Acc:HGNC:11257]	218	0.6372336745262146	0.2622124	Yes	
row_19	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	238	0.6303860545158386	0.27285552	Yes	
row_20	NUDT12	nudix hydrolase 12 [Source:HGNC Symbol;Acc:HGNC:18826]	243	0.6292838454246521	0.28586978	Yes	
row_21	MMUT	methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526]	261	0.6196386814117432	0.29659906	Yes	
row_22	NADK2	NAD kinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26404]	266	0.6184611916542053	0.3093785	Yes	
row_23	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	301	0.6092742085456848	0.31716856	Yes	
row_24	ACACB	acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]	308	0.6073489189147949	0.32938758	Yes	
row_25	MCCC1	methylcrotonoyl-CoA carboxylase 1 [Source:HGNC Symbol;Acc:HGNC:6936]	309	0.6073023676872253	0.3425636	Yes	
row_26	RDH11	retinol dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:17964]	393	0.578086256980896	0.3418533	Yes	
row_27	MOCS1	molybdenum cofactor synthesis 1 [Source:HGNC Symbol;Acc:HGNC:7190]	409	0.5738596320152283	0.35190868	Yes	
row_28	AKR1C1	aldo-keto reductase family 1 member C1 [Source:HGNC Symbol;Acc:HGNC:384]	414	0.5722758769989014	0.36368608	Yes	
row_29	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	447	0.5610867142677307	0.37075004	Yes	
row_30	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	471	0.5531665086746216	0.37907913	Yes	
row_31	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	487	0.5492708086967468	0.38860106	Yes	
row_32	COQ6	coenzyme Q6, monooxygenase [Source:HGNC Symbol;Acc:HGNC:20233]	488	0.5492122173309326	0.40051675	Yes	
row_33	TTPA	alpha tocopherol transfer protein [Source:HGNC Symbol;Acc:HGNC:12404]	493	0.5478076934814453	0.41176328	Yes	
row_34	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	494	0.5476260185241699	0.42364457	Yes	
