NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	74	0.7313722372055054	0.049080327	No	
row_1	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	307	0.6074562072753906	0.062954776	No	
row_2	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	361	0.5897013545036316	0.10357903	No	
row_3	SDC2	syndecan 2 [Source:HGNC Symbol;Acc:HGNC:10659]	1061	0.43059417605400085	0.02912705	No	
row_4	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	2010	0.28836947679519653	-0.09640033	No	
row_5	CASK	calcium/calmodulin dependent serine protein kinase [Source:HGNC Symbol;Acc:HGNC:1497]	2223	0.2640954256057739	-0.107892215	No	
row_6	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	2893	0.18239693343639374	-0.19822936	No	
row_7	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	3048	0.1667497307062149	-0.20866151	No	
row_8	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	3197	0.1504100263118744	-0.21950477	No	
row_9	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	3455	0.11913364380598068	-0.2501329	No	
row_10	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	4244	0.03211354836821556	-0.37171653	No	
row_11	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	5039	-0.06577195972204208	-0.49145055	No	
row_12	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	5077	-0.07015156745910645	-0.4914578	No	
row_13	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	5205	-0.08957871794700623	-0.5040425	No	
row_14	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	5213	-0.09066292643547058	-0.49761572	No	
row_15	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	5358	-0.1131143644452095	-0.51092607	No	
row_16	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	5431	-0.12628154456615448	-0.5117899	No	
row_17	LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	5466	-0.13264034688472748	-0.50613374	No	
row_18	LAMA5	laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	5631	-0.16158650815486908	-0.5185715	Yes	
row_19	TRAPPC4	trafficking protein particle complex 4 [Source:HGNC Symbol;Acc:HGNC:19943]	5694	-0.17564895749092102	-0.513758	Yes	
row_20	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	5758	-0.19082094728946686	-0.507842	Yes	
row_21	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	5834	-0.21139584481716156	-0.50210917	Yes	
row_22	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	5851	-0.21611158549785614	-0.48668155	Yes	
row_23	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	5909	-0.2330743372440338	-0.47630987	Yes	
row_24	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	5918	-0.23487910628318787	-0.45806196	Yes	
row_25	LAMA4	laminin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6484]	5997	-0.25199687480926514	-0.4494298	Yes	
row_26	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	6070	-0.2804085612297058	-0.43749166	Yes	
row_27	COL4A3	collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204]	6110	-0.2956767678260803	-0.4190819	Yes	
row_28	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	6118	-0.2982749342918396	-0.3954106	Yes	
row_29	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	6192	-0.328424870967865	-0.37964183	Yes	
row_30	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	6195	-0.33046555519104004	-0.35250837	Yes	
row_31	LAMB1	laminin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6486]	6204	-0.3373664319515228	-0.3257478	Yes	
row_32	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	6227	-0.35251879692077637	-0.29993612	Yes	
row_33	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	6267	-0.38180726766586304	-0.27437228	Yes	
row_34	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	6293	-0.41428908705711365	-0.24390295	Yes	
row_35	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	6295	-0.4220089316368103	-0.20900811	Yes	
row_36	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	6300	-0.42772966623306274	-0.17411114	Yes	
row_37	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	6307	-0.43523865938186646	-0.13890582	Yes	
row_38	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	6314	-0.447714626789093	-0.10266423	Yes	
row_39	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	6373	-0.6670523285865784	-0.05640352	Yes	
row_40	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	6376	-0.6942473649978638	9.460598E-4	Yes	
