NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SCOC	1	Q9UIL1	
PGLYRP2	1	Q96PD5	
TFRC	1	P02786	
COMTD1	1	Q86VU5	
CAPNS1	1	P04632	
SCP2	1	P22307	
PGLYRP1	1	O75594	
PRKACA	1	P17612	
PRKACB	1	P22694	
GSTK1	1	Q9Y2Q3	
PRKAB2	1	O43741	
SDS	1	P20132	
PRKAB1	1	Q9Y478	
BCR	1	P11274	
LARS2	1	Q15031	
SCO1	1	O75880	
SCO2	1	O43819	
TFR2	1	Q9UP52	
LARS1	1	Q9P2J5	
SF1	1	Q15637	
UNC119B	1	A6NIH7	
SET	1	Q01105	
SHMT2	1	P34897	
SHMT1	1	P34896	
B3GLCT	1	Q6Y288	
ZNF22	1	P17026	
ZNF24	1	P17028	
LARP1	1	Q6PKG0	
RDH11	1	Q8TC12	
RDH10	1	Q8IZV5	
RDH16	1	O75452	
SFN	1	P31947	
RDH14	1	Q9HBH5	
RDH13	1	Q8NBN7	
GSTM4	1	Q03013	
GSTM3	1	P21266	
GSTM2	1	P28161	
PRPF38B	1	Q5VTL8	
GSTM1	1	P09488	
PRPF38A	1	Q8NAV1	
LARP7	1	Q4G0J3	
LARP4	1	Q71RC2	
DHFR	1	P00374	
MOV10	1	Q9HCE1	
PPFIBP1	1	Q86W92	
PPFIBP2	1	Q8ND30	
LAS1L	1	Q9Y4W2	
FXYD1	1	O00168	
SFXN3	1	Q9BWM7	
STRN	1	O43815	
SFXN1	1	Q9H9B4	
HYOU1	1	Q9Y4L1	
SFXN2	1	Q96NB2	
PKIG	1	Q9Y2B9	
SFXN5	1	Q8TD22	
PRKAG1	1	P54619	
GSTO1	1	P78417	
BGN	1	P21810	
TOMM40L	1	Q969M1	
MMP12	1	P39900	
MMP14	1	P50281	
PTRH2	1	Q9Y3E5	
RAPGEF1	1	Q13905	
PTRH1	1	Q86Y79	
CRYAB	1	P02511	
TRUB1	1	Q8WWH5	
APCS	1	P02743	
SZRD1	1	Q7Z422	
GSTP1	1	P09211	
SYNPO2	1	Q9UMS6	
SDAD1	1	Q9NVU7	
STX6	1	O43752	
STX5	1	Q13190	
STX4	1	Q12846	
RICTOR	1	Q6R327	
STX3	1	Q13277	
BID	1	P55957	
MBD3	1	O95983	
EGLN1	1	Q9GZT9	
PKLR	1	P30613	
MBD1	1	Q9UIS9	
MBD2	1	Q9UBB5	
BBOX1	1	O75936	
KIAA2013	1	Q8IYS2	
ARCN1	1	P48444	
TARBP1	1	Q13395	
PKN2	1	Q16513	
MITD1	1	Q8WV92	
PKN1	1	Q16512	
MTCH1	1	Q9NZJ7	
MTCH2	1	Q9Y6C9	
PDCD6	1	O75340	
PDCD5	1	O14737	
GOLIM4	1	O00461	
MSI1	1	O43347	
MSI2	1	Q96DH6	
IL1RAP	1	Q9NPH3	
APEH	1	P13798	
FBXO22	1	Q8NEZ5	
FADS2	1	O95864	
PTAR1	1	Q7Z6K3	
POFUT2	1	Q9Y2G5	
SLK	1	Q9H2G2	
FNTA	1	P49354	
POTEI	1	P0CG38	
POFUT1	1	Q9H488	
FNTB	1	P49356	
NFATC2IP	1	Q8NCF5	
MAP3K7	1	O43318	
FADS1	1	O60427	
MAP3K5	1	Q99683	
DGAT1	1	O75907	
STX8	1	Q9UNK0	
STX7	1	O15400	
SRCIN1	1	Q9C0H9	
MSH6	1	P52701	
MINPP1	1	Q9UNW1	
MSH2	1	P43246	
MSH3	1	P20585	
SMS	1	P52788	
PKP2	1	Q99959	
PKP4	1	Q99569	
PKP3	1	Q9Y446	
IREB2	1	P48200	
FBXO45	1	P0C2W1	
GSTT1	1	P30711	
RAP1A	1	P62834	
CERT1	1	Q9Y5P4	
ZKSCAN1	1	P17029	
