NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MPST	mercaptopyruvate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:7223]	7	0.8812431693077087	0.02584848	Yes	
row_1	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	20	0.8214212656021118	0.049073886	Yes	
row_2	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	38	0.7891542315483093	0.070519164	Yes	
row_3	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	95	0.7097787857055664	0.08335065	Yes	
row_4	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]	99	0.7055085301399231	0.10445753	Yes	
row_5	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	107	0.6978362798690796	0.124695286	Yes	
row_6	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	185	0.6542945504188538	0.13249873	Yes	
row_7	AUH	AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890]	205	0.6433077454566956	0.14916511	Yes	
row_8	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	219	0.6368504762649536	0.16658558	Yes	
row_9	CPS1	carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]	230	0.6340519785881042	0.18439625	Yes	
row_10	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	233	0.6333593130111694	0.20345457	Yes	
row_11	MARS2	methionyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25133]	235	0.6310304999351501	0.22260025	Yes	
row_12	MMUT	methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526]	261	0.6196386814117432	0.23759094	Yes	
row_13	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	277	0.6147539615631104	0.25401822	Yes	
row_14	LARS2	leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]	278	0.6147023439407349	0.272823	Yes	
row_15	HIBADH	3-hydroxyisobutyrate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4907]	282	0.6139204502105713	0.29112804	Yes	
row_16	OTC	ornithine carbamoyltransferase [Source:HGNC Symbol;Acc:HGNC:8512]	306	0.607541024684906	0.30606586	Yes	
row_17	MCCC1	methylcrotonoyl-CoA carboxylase 1 [Source:HGNC Symbol;Acc:HGNC:6936]	309	0.6073023676872253	0.32432705	Yes	
row_18	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]	336	0.5966185927391052	0.3384549	Yes	
row_19	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	370	0.5868717432022095	0.35117435	Yes	
row_20	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	383	0.5808967351913452	0.3670417	Yes	
row_21	ARG1	arginase 1 [Source:HGNC Symbol;Acc:HGNC:663]	398	0.5773235559463501	0.38248256	Yes	
row_22	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	406	0.5742574334144592	0.39893982	Yes	
row_23	ALDH7A1	aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]	450	0.5606938004493713	0.4092724	Yes	
row_24	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	472	0.5530959963798523	0.42286184	Yes	
row_25	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	473	0.5524457097053528	0.4397621	Yes	
row_26	HAL	histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]	478	0.5509079694747925	0.45598087	Yes	
row_27	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	547	0.5312196612358093	0.46144667	Yes	
row_28	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	570	0.5254043340682983	0.47403038	Yes	
row_29	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	588	0.5208775401115417	0.48726863	Yes	
row_30	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	622	0.5125998258590698	0.49771598	Yes	
row_31	GLUD1	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	671	0.5018762350082397	0.5054562	Yes	
row_32	BHMT	betaine--homocysteine S-methyltransferase [Source:HGNC Symbol;Acc:HGNC:1047]	740	0.4889702796936035	0.50962955	Yes	
row_33	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	797	0.4790097177028656	0.5154014	Yes	
row_34	VARS1	valyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12651]	806	0.47616833448410034	0.5286994	Yes	
row_35	FTCD	formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]	821	0.47353649139404297	0.5409652	Yes	
row_36	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]	907	0.45749956369400024	0.5414795	Yes	
row_37	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	954	0.45022496581077576	0.5479569	Yes	
row_38	RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]	999	0.4408271908760071	0.5544639	Yes	
