NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	958	0.4496065676212311	-0.06394878	No	
row_1	LIMD1	LIM domains containing 1 [Source:HGNC Symbol;Acc:HGNC:6612]	1093	0.4236564040184021	-0.003359778	No	
row_2	NF2	neurofibromin 2 [Source:HGNC Symbol;Acc:HGNC:7773]	1791	0.31597235798835754	-0.052033726	No	
row_3	PAK2	p21 (RAC1) activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]	2635	0.21445897221565247	-0.14322558	No	
row_4	CTNNA1	catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]	3131	0.15708760917186737	-0.1907667	No	
row_5	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	3455	0.11913364380598068	-0.21858326	No	
row_6	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	4486	0.0052892169915139675	-0.37948805	No	
row_7	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	4685	-0.018823374062776566	-0.40698725	No	
row_8	PAK4	p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059]	4717	-0.021750517189502716	-0.40766853	No	
row_9	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6864]	4722	-0.022182224318385124	-0.404022	No	
row_10	STK3	serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:11406]	4774	-0.02897072769701481	-0.40645584	No	
row_11	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]	4777	-0.02973935380578041	-0.40103832	No	
row_12	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	4942	-0.05018662288784981	-0.41714755	No	
row_13	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	5039	-0.06577195972204208	-0.41956273	No	
row_14	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	5266	-0.09795785695314407	-0.4362115	No	
row_15	PAK1	p21 (RAC1) activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	6038	-0.26745086908340454	-0.50587076	Yes	
row_16	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	6247	-0.36668503284454346	-0.46789575	Yes	
row_17	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	6293	-0.41428908705711365	-0.39512068	Yes	
row_18	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	6305	-0.4343719184398651	-0.31312978	Yes	
row_19	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]	6343	-0.4945163130760193	-0.22363417	Yes	
row_20	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	6353	-0.5234257578849792	-0.12416478	Yes	
row_21	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	6373	-0.6670523285865784	0.0014149051	Yes	
