NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	8	0.8772775530815125	0.022219986	Yes	
row_1	MLXIPL	MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]	35	0.7918639779090881	0.03928489	Yes	
row_2	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	57	0.7560883164405823	0.056188237	Yes	
row_3	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	108	0.6975712776184082	0.066904396	Yes	
row_4	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9379]	109	0.6973652243614197	0.08558062	Yes	
row_5	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	113	0.6940733194351196	0.10369075	Yes	
row_6	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	157	0.6656570434570312	0.114667386	Yes	
row_7	UQCRB	ubiquinol-cytochrome c reductase binding protein [Source:HGNC Symbol;Acc:HGNC:12582]	201	0.6461507678031921	0.12512162	Yes	
row_8	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:9385]	225	0.6349912881851196	0.13846324	Yes	
row_9	NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	248	0.6284044981002808	0.15178776	Yes	
row_10	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]	359	0.5899716019630432	0.15006357	Yes	
row_11	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]	388	0.579477846622467	0.1611219	Yes	
row_12	UQCRC2	ubiquinol-cytochrome c reductase core protein 2 [Source:HGNC Symbol;Acc:HGNC:12586]	441	0.5632977485656738	0.16792344	Yes	
