NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEC24A	SEC24 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10703]	63	0.7488740086555481	0.029965192	Yes	
row_1	SCARB1	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]	70	0.7382352352142334	0.06836384	Yes	
row_2	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9379]	109	0.6973652243614197	0.09953132	Yes	
row_3	SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	122	0.6840890645980835	0.1340967	Yes	
row_4	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	162	0.6633878350257874	0.16329537	Yes	
row_5	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:24865]	173	0.658915638923645	0.19683488	Yes	
row_6	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	179	0.6561226844787598	0.23101503	Yes	
row_7	SAR1B	secretion associated Ras related GTPase 1B [Source:HGNC Symbol;Acc:HGNC:10535]	186	0.6536380052566528	0.26490486	Yes	
row_8	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:9385]	225	0.6349912881851196	0.29274797	Yes	
row_9	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	301	0.6092742085456848	0.313378	Yes	
row_10	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	339	0.594566285610199	0.3392245	Yes	
row_11	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	473	0.5524457097053528	0.34766734	Yes	
row_12	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	514	0.5415748953819275	0.37021577	Yes	
row_13	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	532	0.5351137518882751	0.39605162	Yes	
row_14	SEC23A	Sec23 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10701]	571	0.5253042578697205	0.41804868	Yes	
row_15	DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	624	0.5125160813331604	0.43715355	Yes	
row_16	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]	680	0.5003717541694641	0.4551374	Yes	
row_17	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	713	0.49393635988235474	0.47641006	Yes	
