NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GATM	glycine amidinotransferase [Source:HGNC Symbol;Acc:HGNC:4175]	0	1.0570560693740845	0.12201023	Yes	
row_1	GAMT	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	11	0.8612722754478455	0.2198511	Yes	
row_2	SARDH	sarcosine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:10536]	189	0.6524308323860168	0.26734933	Yes	
row_3	CPS1	carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]	230	0.6340519785881042	0.33425012	Yes	
row_4	ASL	argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]	264	0.6191816329956055	0.4005343	Yes	
row_5	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]	267	0.6181349754333496	0.47156802	Yes	
row_6	OTC	ornithine carbamoyltransferase [Source:HGNC Symbol;Acc:HGNC:8512]	306	0.607541024684906	0.53572303	Yes	
row_7	ARG1	arginase 1 [Source:HGNC Symbol;Acc:HGNC:663]	398	0.5773235559463501	0.5880634	Yes	
row_8	GLUD1	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	671	0.5018762350082397	0.60325855	Yes	
row_9	PYCR3	pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846]	690	0.4986500144004822	0.65798706	Yes	
row_10	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	954	0.45022496581077576	0.66863436	Yes	
row_11	NAGS	N-acetylglutamate synthase [Source:HGNC Symbol;Acc:HGNC:17996]	1014	0.43737033009529114	0.70984817	Yes	
row_12	ALDH18A1	aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]	2039	0.28567731380462646	0.58194256	No	
row_13	SMS	spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]	2051	0.2845771014690399	0.61306155	No	
row_14	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	3007	0.17054645717144012	0.4827075	No	
row_15	OAT	ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]	5009	-0.06084435060620308	0.17535496	No	
row_16	PYCR1	pyrroline-5-carboxylate reductase 1 [Source:HGNC Symbol;Acc:HGNC:9721]	5616	-0.1584705412387848	0.09843819	No	
row_17	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	5750	-0.18843746185302734	0.09929298	No	
