NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BIOCARTA_FEEDER_PATHWAY	9		Rejected!	
BIOCARTA_PROTEASOME_PATHWAY	19	19		
BIOCARTA_KREB_PATHWAY	8		Rejected!	
ST_INTERFERON_GAMMA_PATHWAY	10		Rejected!	
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	20		Rejected!	
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	47	21		
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	29	17		
ST_ERK1_ERK2_MAPK_PATHWAY	32	17		
ST_GA12_PATHWAY	23		Rejected!	
ST_G_ALPHA_S_PATHWAY	16		Rejected!	
ST_G_ALPHA_I_PATHWAY	36	21		
ST_IL_13_PATHWAY	7		Rejected!	
ST_P38_MAPK_PATHWAY	37	21		
ST_JAK_STAT_PATHWAY	9		Rejected!	
ST_GRANULE_CELL_SURVIVAL_PATHWAY	28		Rejected!	
ST_ADRENERGIC	37	21		
ST_INTEGRIN_SIGNALING_PATHWAY	82	56		
ST_GAQ_PATHWAY	28	19		
ST_GA13_PATHWAY	37	25		
ST_STAT3_PATHWAY	11		Rejected!	
ST_T_CELL_SIGNAL_TRANSDUCTION	45	22		
ST_TYPE_I_INTERFERON_PATHWAY	9		Rejected!	
ST_PAC1_RECEPTOR_PATHWAY	8		Rejected!	
ST_B_CELL_ANTIGEN_RECEPTOR	40	26		
ST_INTERLEUKIN_4_PATHWAY	26		Rejected!	
ST_WNT_BETA_CATENIN_PATHWAY	34		Rejected!	
ST_JNK_MAPK_PATHWAY	40	17		
ST_FAS_SIGNALING_PATHWAY	66	38		
ST_MYOCYTE_AD_PATHWAY	28		Rejected!	
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	38	29		
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	11		Rejected!	
BIOCARTA_RELA_PATHWAY	15		Rejected!	
BIOCARTA_NO1_PATHWAY	28		Rejected!	
BIOCARTA_CSK_PATHWAY	22		Rejected!	
BIOCARTA_SRCRPTP_PATHWAY	11		Rejected!	
BIOCARTA_AMI_PATHWAY	20	15		
BIOCARTA_GRANULOCYTES_PATHWAY	15		Rejected!	
BIOCARTA_LYM_PATHWAY	14		Rejected!	
BIOCARTA_ARAP_PATHWAY	17		Rejected!	
BIOCARTA_AGR_PATHWAY	33	19		
