NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	REACTOME_MET_ACTIVATES_PTK2_SIGNALING	Details ...	22	-0.7572806	-1.7036724	0.040767387	1.0	0.791	466	tags=64%, list=7%, signal=68%	
NABA_SECRETED_FACTORS	NABA_SECRETED_FACTORS	Details ...	29	-0.61302924	-1.7036102	0.022959184	1.0	0.791	687	tags=45%, list=11%, signal=50%	
WP_MECHANOREGULATION_AND_PATHOLOGY_OF_YAPTAZ_VIA_HIPPO_AND_NONHIPPO_MECHANISMS	WP_MECHANOREGULATION_AND_PATHOLOGY_OF_YAPTAZ_VIA_HIPPO_AND_NONHIPPO_MECHANISMS	Details ...	22	-0.5574189	-1.6589955	0.024449877	1.0	0.843	346	tags=32%, list=5%, signal=34%	
REACTOME_LAMININ_INTERACTIONS	REACTOME_LAMININ_INTERACTIONS	Details ...	23	-0.81139874	-1.6494263	0.061068702	1.0	0.85	953	tags=91%, list=15%, signal=107%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	Details ...	34	-0.52238566	-1.5805844	0.06413302	1.0	0.9	390	tags=35%, list=6%, signal=37%	
WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	Details ...	34	-0.5223856	-1.5805843	0.06413302	1.0	0.9	390	tags=35%, list=6%, signal=37%	
NABA_BASEMENT_MEMBRANES	NABA_BASEMENT_MEMBRANES	Details ...	23	-0.8024799	-1.5763294	0.09090909	1.0	0.902	984	tags=91%, list=15%, signal=108%	
REACTOME_MET_PROMOTES_CELL_MOTILITY	REACTOME_MET_PROMOTES_CELL_MOTILITY	Details ...	30	-0.5973189	-1.5710678	0.09975669	1.0	0.905	466	tags=47%, list=7%, signal=50%	
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	Details ...	31	-0.65371877	-1.5708163	0.08454106	1.0	0.905	1171	tags=74%, list=18%, signal=90%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	43	-0.69219244	-1.5354857	0.13701923	1.0	0.919	1201	tags=79%, list=19%, signal=97%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	63	-0.49897718	-1.4457983	0.14713217	1.0	0.942	1171	tags=60%, list=18%, signal=73%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	17	-0.6363943	-1.4358507	0.11340206	1.0	0.942	773	tags=59%, list=12%, signal=67%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	17	-0.6363943	-1.4358507	0.11340206	1.0	0.942	773	tags=59%, list=12%, signal=67%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	53	-0.556602	-1.4244968	0.17037037	1.0	0.945	1026	tags=64%, list=16%, signal=76%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	Details ...	27	-0.5087336	-1.4090763	0.15827338	1.0	0.952	444	tags=33%, list=7%, signal=36%	
