NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	Details ...	120	0.5696083	2.0197713	0.0033057851	0.12562586	0.068	1563	tags=56%, list=24%, signal=73%	
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	Details ...	15	0.79701376	1.9990357	0.0	0.093272254	0.096	514	tags=60%, list=8%, signal=65%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	Details ...	30	0.68069226	1.9680799	0.0033333334	0.11157159	0.146	596	tags=47%, list=9%, signal=51%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	Details ...	29	0.75043046	1.9228073	0.0018761726	0.1739982	0.246	1476	tags=93%, list=23%, signal=121%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	Details ...	42	0.65217733	1.9209162	0.0034602077	0.14594497	0.25	1129	tags=62%, list=18%, signal=75%	
REACTOME_METABOLISM_OF_STEROIDS	REACTOME_METABOLISM_OF_STEROIDS	Details ...	92	0.5867459	1.919483	0.003533569	0.12434651	0.256	1766	tags=67%, list=28%, signal=92%	
REACTOME_PROTEIN_LOCALIZATION	REACTOME_PROTEIN_LOCALIZATION	Details ...	131	0.6293819	1.9151441	0.003787879	0.11378419	0.258	1694	tags=73%, list=27%, signal=98%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	412	0.48451334	1.912836	0.0	0.103468746	0.264	1882	tags=51%, list=29%, signal=67%	
WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALLING	WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALLING	Details ...	50	0.6074112	1.9070568	0.001776199	0.1001838	0.282	1230	tags=54%, list=19%, signal=66%	
REACTOME_FATTY_ACID_METABOLISM	REACTOME_FATTY_ACID_METABOLISM	Details ...	130	0.61728156	1.9052306	0.0035460992	0.09340975	0.286	1661	tags=68%, list=26%, signal=91%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Details ...	43	0.75584346	1.8927512	0.0056710774	0.10146078	0.323	907	tags=79%, list=14%, signal=92%	
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	Details ...	106	0.56933844	1.889458	0.0091743115	0.09747803	0.333	1579	tags=58%, list=25%, signal=75%	
WP_TRANSSULFURATION_AND_ONE_CARBON_METABOLISM	WP_TRANSSULFURATION_AND_ONE_CARBON_METABOLISM	Details ...	25	0.7006895	1.8881177	0.0036231885	0.09166094	0.337	1281	tags=68%, list=20%, signal=85%	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM	Details ...	22	0.65241796	1.8840948	0.0018115942	0.09002593	0.345	978	tags=59%, list=15%, signal=70%	
WP_AMINO_ACID_METABOLISM	WP_AMINO_ACID_METABOLISM	Details ...	78	0.6122286	1.8827866	0.0036832413	0.08571457	0.35	1206	tags=59%, list=19%, signal=72%	
WP_UREA_CYCLE_AND_METABOLISM_OF_AMINO_GROUPS	WP_UREA_CYCLE_AND_METABOLISM_OF_AMINO_GROUPS	Details ...	18	0.70984817	1.8807663	0.0	0.08216444	0.353	1014	tags=67%, list=16%, signal=79%	
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	Details ...	74	0.5908517	1.8604022	0.0019646366	0.103247456	0.414	1748	tags=70%, list=27%, signal=96%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	Details ...	18	0.76304173	1.8493526	0.003868472	0.11499191	0.457	1146	tags=83%, list=18%, signal=101%	
