"To","ES","fd","P_value","P_value_adjust"
"ABCB11",0.38425723,2.7174116489249,0.00187671701473554,0.0146552877342912
"ABCB4",0.29204825,5.51925475454655,0.000725693985326747,0.00763751482091937
"ABCC3",0.47165394,1.49727918067703,0.0210003336970142,0.0861378903487794
"ABCD1",0.4279227,1.4026192283771,0.00510489584289328,0.0300626847848917
"ABHD3",0.48451334,3.1933430946772,0.035174066201122,0.124810575425651
"ABHD4",0.28623125,Inf,0.00104428146742338,0.00981202271044174
"ABHD5",0.45407644,3.12068996360491,0.0117266482968491,0.0556755587407356
"ACAA1",0.23487282,2.85749147365254,9.00548346477084e-05,0.00185872020451331
"ACAA2",0.16071087,2.39208819267095,3.0253644186816e-05,0.000980798697147332
"ACACA",0.20145643,2.30378055656236,5.59814076732425e-05,0.00138991461811388
"ACACB",0.20487152,4.15972540065513,0.000103538811853496,0.00202626717465728
"ACAD10",0.32714167,1.8027859915838,0.000663153869190888,0.00713029260692849
"ACAD11",0.38855866,2.45826045281821,0.00297811339251937,0.0203536565910204
"ACADM",0.15420225,2.12494637772424,4.30783145833995e-05,0.00122558314084195
"ACADS",0.27655333,2.02940510912275,0.000139602271249133,0.0024153826931218
"ACADVL",0.24991107,1.19999592306821,0.000117413837036525,0.00217557237847279
"ACAT1",0.12655205,2.21796515273369,6.58804137199783e-06,0.000441358225606143
"ACAT2",0.3569524,2.73234706174033,0.00113000806579424,0.0103621739633332
"ACBD4",0.40170386,Inf,0.00730371253174325,0.0392651011233333
"ACBD5",0.3309633,1.70683337346058,0.000516753957825583,0.0059982706243805
"ACBD6",0.47438067,1.87245669356884,0.0184634710822793,0.077724729447271
"ACLY",0.48089388,0.850905302525451,0.0370699510059186,0.130099516406228
"ACOT1",0.003610236,2.95720113353323,1.66571105275521e-07,8.5590876048147e-05
"ACOT12",0.48184034,3.05739626690611,0.0320278818320124,0.116537287389914
"ACOT13",0.035022087,2.55283811806802,9.66288078413555e-07,0.000163226399350963
"ACOT2",0.46640745,Inf,0.0288199963566376,0.108565467496043
"ACOT4",0.4045785,2.56368829057018,0.00257887756691848,0.0183727137647611
"ACOT8",0.32369408,2.47431053052994,0.000449041994417191,0.00542824964625979
"ACOX1",0.35583642,2.10148654480035,0.000740581218465233,0.00769273760951685
"ACOX2",0.4664503,2.54984940687764,0.0136179608615955,0.0623218289306036
"ACOX3",0.36575168,1.46717399295616,0.00115169407399627,0.0104928548244828
"ACSF2",0.20843183,2.86890747939716,0.000108604683812884,0.00208099541908925
"ACSL1",0.22438003,2.84453906117868,0.000124351937394645,0.00225484487609104
"ACSL3",0.44751108,1.46302092284178,0.010252935401181,0.0502777634378768
"ACSL4",0.47436067,2.03666320271847,0.0187877174253941,0.0787195549305515
"ACSL5",0.39849094,1.74384499381763,0.00264623905926848,0.0187279035517579
"ACSL6",0.4529414,Inf,0.020371615404479,0.0838777416814308
"ACSM3",0.4621045,3.3809520394351,0.0142227113065455,0.0645654765747633
"ACSS3",0.11698562,3.50735600680245,6.30147255761795e-06,0.000434937122014512
"AGK",0.1685269,1.80035563977297,3.50437411688785e-05,0.00106106497435392
"AGMO",0.46731597,Inf,0.0310527893949629,0.11422799720703
"AGPAT1",0.47674617,2.05962246865533,0.0229512160850459,0.0920198975951965
"AGPAT2",0.4797503,1.55260409239238,0.0245093645646029,0.0968157607016531
"AGPAT3",0.2539095,1.93996127047701,0.000195913460211176,0.00304496005107878
"AGPAT5",0.4742869,1.2090571831465,0.0219110245900232,0.0888036433479987
"AGT",0.28067473,1.64565789733917,0.000227366139313736,0.00336281854436606
"AKR1C1",0.2580742,4.23641137884887,0.000238741706034032,0.00346715613355759
"AKR1C2",0.23160675,3.64750906823462,0.000204331983051087,0.00309341273397389
