"To","ES","fd","P_value","P_value_adjust"
"ACACA",0.313378,2.30378055656236,5.59814076732425e-05,0.00138991461811388
"CYP51A1",0.49819908,1.82700731713557,0.000825287857618556,0.00831636225754083
"DBI",0.43715355,1.93135376471563,0.000596965015520056,0.00658405229316708
"FASN",0.16329537,2.86147989561735,5.38193674189318e-05,0.00136548031407954
"FDPS",0.5585147,2.42292033707469,0.0021833751023369,0.0161837006719406
"GPAM",0.19683488,3.4271888365096,1.45804661505724e-05,0.000672740522323662
"HMGCS1",0.3392245,2.58635634608475,9.4901890840897e-05,0.00192012961125579
"IDI1",0.5467699,2.38493778449475,0.00185379412006217,0.0145780934114742
"LSS",0.5899294,2.29184765884871,0.00600265673796343,0.0339851828145596
"MDH1",0.34766734,1.83650397162796,0.000223641258983109,0.00332303991067726
"MVD",0.39605162,2.04067653679212,0.000312538534134771,0.00421467405590566
"PRKAA1",0.502196,1.09900632424088,0.00213590825040543,0.0159423198364563
"PRKAA2",0.57346606,5.22716160778932,0.00939747147800766,0.0468705279077942
"PRKAB1",0.47641006,1.31354188416971,0.0017688514162332,0.0141222104985086
"PRKAB2",0.09953132,2.79924683058277,1.0054923724961e-05,0.000556401339573491
"PRKACA",0.37021577,1.29146508566221,0.000756478349117939,0.00780680791477178
"PRKAG1",0.29274797,1.39528009261791,5.09332950449908e-05,0.00131830976166853
"RBP4",0.23101503,4.42633432677572,5.93724779201833e-05,0.00144909481281238
"SAR1A",0.6074112,1.01591196989146,0.00593605127187162,0.0337797102075744
"SAR1B",0.26490486,2.06719789874078,1.72520705551042e-05,0.000753340414239551
"SCARB1",0.06836384,3.46071102903331,3.33601360962515e-06,0.000305912448002626
"SCD",0.57164204,2.04146290711332,0.00285390573478941,0.0197618348561092
"SEC13",0.4551374,1.09405989724613,0.00204145923757192,0.0155304987995679
"SEC23A",0.41804868,1.12927592945045,0.000409212107520134,0.00507915421179603
"SEC24A",0.029965192,2.77507043538846,2.1593807072901e-06,0.00025139407108077
"SEC24B",0.52454513,1.31102350803859,0.00169377861954749,0.0137104223945465
"SEC31A",0.1340967,1.10629661372291,1.46726395272336e-05,0.000672740522323662
