,C_b10_2,C_b11_2,C_b12_11,C_b14_3,C_b17_10,C_b17_4,C_b18_7,C_b19_12,C_b21_6,C_b22_6,C_b22_8,C_b23_8,C_b24_3,C_b5_13,C_b6_6,C_b7_6,C_b8_4,H_b10_3,H_b10_4,H_b11_3,H_b11_4,H_b12_12,H_b12_13,H_b14_4,H_b14_5,H_b17_11,H_b17_12,H_b17_5,H_b17_6,H_b18_8,H_b18_9,H_b19_13,H_b19_14,H_b21_7,H_b21_9,H_b22_10,H_b22_11,H_b22_7,H_b22_9,H_b23_10,H_b23_9,H_b24_4,H_b24_5,H_b5_14,H_b5_15,H_b6_7,H_b6_8,H_b7_7,H_b7_8,H_b8_5,H_b8_6
A0A0A0MS15,554.462,2452.535,1189.12,0,0,977.99,2272.94,0,5401.52,8366.87,605.951,2885.04,5341.01,1692.08,0,0,4016.62,0,0,0,755.479,0,0,1675.1345,1678.27,0,0,430.254,0,0,1150.27,1907.14,0,1272.08,4758.17,2827.13,0,492.717,1202.51,1612.44,0,972.817,2175.93,0,3683.07,1814.9,116.555,0,0,0,1995.38
A0A0B4J1V0,0,0,1283.8,1356.09,0,0,0,0,1258.77,2283.42,0,0,943.282,931.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047.98,0,0,0,0,0,0,0,0,0,0,1631.23,0,0,0,0,1237.05
A0A0B4J1X5,0,9153.83,0,10596.6,0,2517.77,0,0,8958.11,0,0,6129.25,24385.6,0,0,0,0,0,0,0,0,0,0,3495.41,0,0,0,0,0,1802.34,0,0,0,0,14871.4,0,0,12011.5,6488.21,0,5774.67,0,4081.91,0,4564.74,0,1912.93,3318.12,0,0,7373.13
A0A0C4DH25,0,12405,0,8579.05,0,0,0,0,24176.6,8038.03,5487.99,16379.2,11989.2,11318.6,0,0,10681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1676.23,0,2835.88,10608.4,0,0,25658.4,0,12670.2,7769.46,2683.06,3227.41,0,2179.16,33159.9,0,0,0,0,0
A0A0C4DH34,0,0,0,1138.78,1444.62,685.067,0,0,2740.51,0,0,2372.72,1434.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1204.26,0,0,0,0,0,0,2606.77,0,0,0,0,0,5524.69,0,0,1261.99,0,0,0,0,0,0,0,0
A0A1W2PR48,2986.79,6026.03,0,32322.4,45975.3,0,0,0,13292.9,31591,0,46639.9,0,0,0,0,89242.75,1744.92,21727.8,0,15418.8,38849.2,60988.3,29686.5,0,17094.1,35353.3,0,0,46858.7,33004.9,50584.4,6052.63,84534.1,0,0,0,0,58287.5,22313.9,209161,42401.8,0,37489.9,0,6499.33,0,0,0,11094.5,66909.8
A0AUZ9,4833.445,21164.15,0,1670.55,13927.2,0,0,0,14699.2,0,0,24567.4,2730.37,0,0,0,16834.8,1645.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16946.4,17734.1,1820.9,0,9287.38,0,18972.9,0,0,0,7135.83,0,9961.51
A0AV96,1203.87,0,0,0,0,0,0,0,0,1498.11,0,0,1883.06,0,1300.69,0,0,0,0,0,675.305,0,0,520.823,0,0,0,0,0,0,0,220.23,0,0,0,0,515.509,0,0,0,308.751,2299.975,1025.59,0,0,285.228,0,0,0,0,0
A0AVT1,1541.8605,3194.425,1405.82,1756.94,0,1566.12,3612.14,2373.64,3434.06,6668.74,8508.28,2559.33,4570.27,2760.24,2444.97,5280.7,709.5325,2079.73,3967.2,2495.33,0,0,1706.23,504.903,305.132,0,0,1113.76,2260.03,538.814,1297.41,0,0,2803.3,3812.72,1893.9,0,11844.7,4723.89,2742.65,721.312,4074.715,3972.09,568.547,2576.28,2907.21,894.545,0,0,0,3370.98
A0FGR8,0,635.526,1273.7,207.033,268.407,292.911,795.604,1058.67,2096.98,1306.63,1567.22,1417.53,1591.37,1048.98,729.41,0,3833.36,892.224,384.041,0,0,0,0,0,0,0,0,407.915,1335.65,0,0,727.01,1308.29,0,1559.46,5533.32,775.929,1177.09,2583.38,1395.16,1279.27,1883.64,1216.4,0,0,349.259,0,0,1480.56,819.296,526.024
A0MZ66,3330.14,1589.87,2617.07,959.032,0,820.7355,920.316,1191.6,0,3072.3,2489.55,1592.69,2583.91,7025.95,3471.25,865.311,1349.645,1324.59,988.576,2709.91,1514.32,1582.9,1325.79,1247.54,4091.18,0,751.269,756.483,968.439,1562.32,872.53,1030.39,2526,4375.33,7301.37,2713.58,4214.22,2652.35,4352.06,3448.3,2516.16,2092.79,2798.16,3317.86,7584.67,1531.95,1518.78,1813.93,1131.05,2146.47,3008.39
A1L0T0,0,614.349,0,0,0,551.844,0,439.19,0,2102.03,1531.02,0,0,1662.74,1295.85,0,434.892,0,0,0,0,0,1181.5,464.582,4183.18,1634.52,1019.67,0,0,2754.54,1084.71,0,674.611,3738.04,4392.7,3570.68,1034.36,6836.87,2399.7,2478.85,3058.62,2131.545,1904.35,2218.72,651.711,0,3402.28,934.281,0,0,1637.58
A1X283,0,497.703,0,0,0,0,303.012,447.565,234.598,0,0,747.86,196.078,0,0,0,0,0,629.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.597,0,1237.34,0,0,0,0,0,783.237,0,0,311.994,0
A2PYH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4196.65,9990.93,0,0,0,0,0,9512.25,2006.61,8764.71,0,5625.12,712.144,0,0,5263.34,0,2155.09,2359.91,2286.79,7154.145,4640.57,7767.47,0,415.417,0,1406.51,0,1467.36,818.465
A2RRP1,576.38,1089.93,0,0,0,0,0,0,0,1107.93,960.551,542.494,386.93,0,1004.52,0,0,380.914,0,0,1137.32,1394.5,0,0,0,0,0,0,0,0,0,778.105,0,1308.44,0,984.661,301.79,881.845,0,3400.1,1473.65,13227.97,883.941,9637.25,0,0,0,0,17518.1,2435.21,0
A2RUB1,3307.72,11997.55,0,1078.25,7114.87,818.4545,9037.01,2027.57,13307.2,6555.75,11589.6,23509.3,10521.2,4570.64,883.685,3325.82,8519.415,1724.63,2720.42,0,6635.99,0,1985.18,1827.515,1372.1,1008.18,7476.85,11358.2,8566.19,2303.6,2957.98,672.06,128.894,3030.84,1268.37,12893.2,5425.66,1811.39,6213.9,7218.31,12395.9,4854.985,2391.44,916.382,4944,4633.33,721.148,4240.77,13658.2,730.571,0
A2VDF0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865.05,579.305,0,1341.65,535.076,0,1183.83,749.986,0,541.851,628.832,484.231,7617.26,2318.89,2436.73,6000.88,406.067,1716.69,659.378,2764.24,3424.915,1568.8,1681.54,0,0,0,806.462,0,890.013,348.877
A3KMH1,15450.575,11712.3,0,0,2391.41,692.011,3499.11,825.518,1867.68,7528.21,3692.05,21863.9,1963.72,9713.83,70604,2257.56,25777.1,6678.13,1696.36,3464.38,35648.9,3437.62,6667.89,6075.23,2541.91,945.128,37808.6,7876.49,5198.26,0,4663.67,438.17,6558.05,16015.5,4662.17,12739.8,28719.6,1963.1,3228.16,1302.17,6200.72,5317.895,5437.79,22164.2,13398.5,0,2168.93,14406.3,1033.43,15318.3,1667.29
A4D1P6,0,1910.755,0,0,1497.36,718.639,0,527.497,2234.4,5345.33,1396.66,2028.3,1523.15,0,1691.47,0,1518.46,0,0,975.307,426.941,0,0,806.858,0,0,1038.46,2534.74,815.651,1703.27,1192.33,0,826.021,2562.6,2325.14,1745.58,2534.12,2288.88,4496.15,1400.12,1346.35,2331.54,1640.21,1221.04,0,0,0,0,1601.23,1264.53,0
A4D2P6,3462.65,0,0,3032.34,3868.8,4628.94,0,0,0,0,0,0,0,0,0,0,0,0,2478.45,0,0,0,0,1561.765,3855.7,2884.67,0,0,0,0,0,0,2108.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104.95,0,0,0
A4FU69,1285.91,3557.49,0,0,0,2641.48,4129.4,0,2034.84,6715.31,7467.68,3862.53,5358.06,3778.14,4273.26,0,0,0,1050.7,0,2303.67,0,0,1382.94,1639.41,0,0,0,0,2182.58,0,0,1788.62,0,0,2784.9,3436.77,10924.1,5427.89,4289.14,0,2675.61,4539.13,0,2447.54,5319.57,0,0,5125.07,0,3556.42
A4GXA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3905.98,6329,0,0,0,0,0,0,7078.98,8543.27,0,8389.96,6274.78,0,13109.8,0,0,0,0,0,0,0,3033.31,0,0,0,3719.44
A5D8V7,0,0,0,0,0,0,0,0,0,4365.38,2553.32,0,0,0,1220.87,0,320.755,0,0,0,7406.96,4185.07,1997.55,0,0,276.985,2310.73,1982.07,5149.73,0,1259.28,2404.5,868.587,11613.9,0,4081.66,3815.2,0,2632.37,6165.28,3679.92,1577.27,7978.81,0,0,1634.06,0,3966.5,0,4985.04,0
A5YKK6,6421.1675,1826.575,356.78,0,90.1638,2178.05,1707.62,2079.38,2296.39,5305.14,1748.68,1917.19,2599.39,677.179,9632.1,369.074,4333.995,1305.01,1917.2,13923.5,8715.91,1154.62,0,3429.56,6320.01,0,22793.5,0,4337.23,1197.25,4818.84,0,0,647.833,1359.8,1023.54,989.817,2157.9,1262.18,682.777,3267.93,4313.925,771.951,26235.7,0,948.291,5584.71,0,0,0,0
A6NCS6,1726.45,0,0,0,0,0,0,0,0,615.77,1658.71,762.231,0,0,0,0,664.066,0,0,241.383,1045.55,831.022,1996.46,1058.519,2294.71,701.212,686.996,0,0,0,0,720.992,693.345,3357.74,4673.14,432.827,2059.2,7345.67,4885.84,1469.7,4984.95,2193.775,886.051,2987.25,867.8,0,407.474,2555.91,0,0,1641.27
A6ND91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6370.92,9152.57,309.4035,588.225,3840.16,0,3692.91,6183.77,0,7316.58,0,0,4523.83,633.082,2385.39,1614.65,0,1488.1,3224.02,13514.9,6412.185,3425.83,0,0,0,0,4812.58,0,1883.28,1584.98
A6NDB9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308.19,0,1921.38,264.657,0,0,0,0,0,0,0,0,680.712,0,0,0,0,1327.98,1814.21,0,259.862,0,0,0,0,0,0,0,0
A6NDG6,1291.4615,1332.68,0,478.966,0,0,467.337,0,1118.2,3034.68,1855.9,0,0,0,0,121.953,1928.17,0,1189.02,508.31,0,0,735.702,408.426,1023.93,1212.42,0,2101.61,0,3087.02,0,0,499.994,0,1819.41,859.978,0,656.537,1573.46,3149.7,1656.32,2063.91,1070.04,0,0,0,0,0,5477.1,1711.04,822.077
A6NDU8,0,0,0,0,0,0,0,773.272,0,0,188.976,0,0,834.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.036,0,0,0,267.919,0,682.926,0,875.204,0,0,0,0,0,0,0,0,0
A6NE52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.38,932.894,0,728.346,0,1166.77,1030.2,815.627,0,0,0,0,0,0,0,0,0,0
A6NHQ2,4025.94,4108.458,5370.64,0,0,0,6012.24,1768.34,7492.94,22644.9,11413.5,11689.5,12624.6,544.215,4796.99,2036.92,6248.255,5829.49,12258.3,11249.5,12621.7,0,0,7171.72,0,5199.59,8757.89,0,0,8952.81,0,2934.36,2632.72,16612.3,30890.7,11269.4,25092.9,18821.2,19085.5,13351.2,11410.2,4903.645,1078.78,8730.51,0,1773.45,14599.1,0,7824.52,0,1007.63
A6NHR9,2306.18,1565.235,1286.34,0,0,731.205,0,0,0,2704.21,15762,200.312,2054.27,355.347,0,0,948.79,795.638,390.297,0,877.97,0,0,0,23375.7,0,0,0,0,955.753,0,676.25,426.914,0,0,812.429,0,834.929,609.419,685.78,0,835.3515,461.071,0,0,0,0,281.321,0,0,0
A6NHX0,0,0,0,0,0,1626.77,0,0,0,0,0,3722.01,0,0,0,0,0,0,0,0,0,2151.86,0,1644.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160.62,0,483.301,0,0,0,2424.65,4027.09,0,0,0
A6NLP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4820.98,22071.6,0,0,0,0,1455.1,15693.4,0,1902.75,0,0,0,0,0,1757.96,0,0,0,9730.13,1595.815,0,0,0,0,0,1628.36,0,1695.87,0
A6NMZ7,0,0,0,0,0,485.352,0,0,0,0,3219.06,0,0,0,2770.7,0,2243.26,0,0,2447.29,2766.1,0,0,0,0,1969.6,0,0,0,0,0,0,0,0,0,0,0,0,6551.07,0,2730.08,2716.8665,0,0,0,0,0,0,683.39,2607.35,0
A6NNA2,0,0,0,0,487.766,0,0,0,0,0,0,0,0,0,0,0,0,0,379.007,0,0,0,0,275.452,0,0,0,0,0,0,0,0,734.013,0,0,0,0,1687.42,1202.94,0,0,0,0,0,0,0,0,0,0,0,0
A6NNJ1,0,0,0,0,736.059,0,3190.8,1253.88,0,3926.37,2220.87,1673.42,0,0,0,2757.66,0,0,1139.55,0,2797.01,0,0,0,0,0,2259.06,2754.83,0,0,0,0,0,2355.4,1185.54,6167.81,0,3654.36,3798.46,0,2236.96,0,2931.48,0,0,0,0,0,2851.43,0,668.092
A8MU46,0,0,1849.13,0,0,3590.12,0,6324.65,5421.03,0,658.17,2627.89,0,0,3732.13,0,5775.09,0,498.194,2791.38,0,0,0,0,0,0,4425.59,0,0,0,0,0,0,0,4232.41,0,8479.56,0,1427.49,0,0,0,0,0,3857.03,2465.48,0,2844.82,1352.8,5587.64,0
A8MUM7,11790.7,0,0,0,0,0,0,0,0,0,0,0,0,0,6629.13,0,0,12675.6,9307.49,2259.05,0,0,0,13702.1,0,0,0,0,0,0,0,5004.77,0,0,20312.6,0,1997.27,2582.92,9506.87,6253.29,5995.29,0,0,0,0,0,0,0,0,0,0
A8MWP4,818.603,1082.42,0,0,769.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528.449,0,473.23,0,63.2294,561.712,775.708,0,117.609
A8MXV4,0,320.158,0,0,0,2617.18,0,1511.67,274.647,4126.46,3973.76,6492.48,2656.73,0,384.278,0,0,737.188,0,0,0,210.339,0,1162.905,0,0,0,0,171.403,369.04,154.241,0,1857.15,0,0,5092.18,4886.56,5860.7,929.959,2677.03,5485.78,2133.06,1501.7,0,0,0,0,0,4338.13,0,0
B0I1T2,1220.95,659.48,0,0,0,0,1686.84,0,1492.89,2675.17,208.319,0,1005.35,0,0,0,0,0,0,0,0,0,0,257.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173.56,1043.51,0,0,0,0,0,0,0,0,0,0,0
B2RBV5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.365,0,0,146.782,5380.05,0,1282.33,936.715,0,1881.07,0,0,1623.12,191.567,3126.98,2058.17,0,0,0,4544.07,458.5205,0,0,505.215,0,0,1579.31,0,3773.8,911.278
B2RTY4,0,0,0,0,712.59,694.902,1966.88,440.169,1700.4,5180.74,1416.32,0,4669.3,0,0,0,449.744,637.608,0,3639.12,0,0,2613.77,0,0,314.27,0,0,0,0,0,0,0,1559.46,1177.17,6296.72,0,273.908,1539.64,0,2280.49,1017.16,1096.47,0,0,870.349,0,0,257.256,0,0
B7ZBB8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884.077,0,0,0,187.255,1482.36,1288.78,0,0,0,0,0,0,1426.28,10131.7,6001.36,0,0,1345.09,0,0,0,0,0,0,0,0,0,1408.07,1783.92,1911.95,1324.22
C9JLW8,0,0,0,0,0,0,0,0,0,1154.19,0,0,380.002,0,983.836,0,1123.04,0,927.275,0,0,0,0,434.919,0,723.867,0,0,0,0,0,0,0,0,1529.73,2497.77,0,1351.29,0,0,176.945,0,0,0,0,0,0,0,0,0,0
CON_IPI00017870.1.TREMBL.Q9H552,0,602.85,0,6189.5,3439.61,1291.15,1968.89,722.455,0,2412.56,483.233,1163.09,0,0,968.341,0,2011.205,0,272.711,0,0,1221.75,1049.43,2739.01,1220.78,0,0,0,0,662.979,609.339,755.981,0,7933.01,4260.97,0,4056.79,2418.33,1510.51,937.819,1703.78,1084.12,0,745.28,0,0,991.048,760.979,0,0,1522.66
CON_IPI00136056.1.SWISS.PROT.P08730.1,0,6788.41,0,19540.4,15816.8,1479.19,8593.27,0,4118.32,10197.8,0,0,0,0,5814.44,0,0,0,0,0,0,0,0,0,3091.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172.83,0,0,0,0,0,0,0,0,0,0,2404.83
CON_IPI00311493.5.SWISS.PROT.P05784,0,0,0,1866.6,1417.92,613.437,2693.25,3277.06,586.266,1317.96,1533.87,1351.69,924.562,0,1056.1,0,4445.1,0,0,0,870.848,1575.23,3135.48,938.042,5271.02,195.369,3079.8,4927.53,1321.97,1582.66,696.768,2696.47,0,17943.7,8964.1,4587.68,3096.42,888.181,6603.38,2108.17,15786.2,5952.31,3917.99,2111.99,1206.46,0,0,1668.34,0,457.297,2656.7
CON_IPI00468696.3.SWISS.PROT.Q6IFX2,0,0,0,0,0,3580.26,0,0,0,0,0,79219.5,10365.9,0,0,0,0,0,0,0,0,0,970.401,0,1316.98,0,0,0,3485.62,0,0,0,0,0,0,0,3204.78,0,0,0,4131.71,1814.64,0,0,0,0,0,0,0,468.262,0
CON_IPI00479145.2.SWISS.PROT.P08727,0,2920.475,0,28598.2,13673.5,1195.46,8185.49,11967.6,2944.67,1730.08,0,0,2945.94,0,2639.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972.79,0,0,0,1428.62,968.292,0,0,0,0,0,0,0,0
CON_IPI00691533.1.SWISS.PROT.Q28107,0,1262.88,0,0,0,0,0,0,0,0,0,18128.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.766,0,3485.32,3986.57,0,452.478,0,0,0,0,0,0,0,0,867.703
CON_IPI00694107.2.SWISS.PROT.P02584,4406.54,12375.1,0,3697.62,8592.27,12325.73,13764.2,9745.32,19423.3,23503.3,6731.34,6511.27,14673.6,3809,5869.04,15321.6,9346.73,3029.02,5264.41,3897.68,3186.1,6158.65,3957.15,2447.595,5316.63,3704.48,6283.43,688.691,3406.78,3413.79,4926.57,5434.98,5080.65,760.29,7270.04,4993.71,4947.52,3628.36,10299.4,8848.94,6533.14,6160.12,6721.79,3231.22,893.226,2758.25,2221.32,2779.94,5829.81,1661.02,2822.75
CON_IPI00708008.1.ENSEMBL.ENSBTAP00000032840,112757,15597.3,0,0,139794,4832.75,12501.6,0,12282,0,0,0,0,0,0,316918,0,62539.6,0,0,0,0,0,4371.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14181.9,0,121218,0,32798.9,0,0,6113.38,0,0,0,0
CON_IPI00708398.1.SWISS.PROT.P02769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38074.8,0,0,57.5513,554.985,0,0,0,0,0,0,469.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.435,670.024,0,0,0
CON_IPI00710490.3.SWISS.PROT.P01030,0,0,3710.47,0,0,0,0,0,6043.6,0,0,5173.51,0,5312.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6446.63,0,0,3604.02,4523.54,16719.5,6645.59,7515.4,10616.1,2378.62,0,0,0,8405.6,27611.4,0,0,4750.33,0
CON_IPI00710783.2.SWISS.PROT.P01966,10528.58,19935.3,0,0,0,0,0,0,3490.77,0,0,0,79694.7,0,29269.6,0,0,922.253,0,0,0,0,0,26375,0,0,686.91,0,0,0,0,0,0,0,27539.1,2062.98,0,0,14988.7,477.758,22294.7,121001.975,68879.3,3197.46,0,0,0,0,0,10071.2,493.166
CON_IPI00711422.1.ENSEMBL.ENSBTAP00000011213,15431.1,32157.5,0,26271.3,68370.2,24217,35520,0,115673,66245,0,151652,84005.1,8254.44,36726.1,0,0,7630.32,0,49491.3,0,19073.2,35273.2,23562.01,44415.1,51997.9,1215.35,0,37124.2,41736.5,0,2068.12,57014.4,122555,0,0,0,0,0,71472.9,74855.4,172961,121375,0,0,99418.7,28630.2,0,54323,2986.88,31517.4
CON_IPI00713814.2.SWISS.PROT.P10096,2551.735,918.928,0,0,0,0,0,0,0,1482.83,0,0,0,0,0,1543.13,0,1170.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327.5,2935.71,0,751.35,0,0,0,0,0,0,0,0
CON_IPI00714446.3.SWISS.PROT.Q3ZBD7,0,0,0,2183.25,0,0,0,0,2540.13,0,0,0,1470.83,0,0,0,1057.03,0,0,0,0,638.116,2727.64,0,1171.6,0,0,0,0,0,10572.9,0,0,0,0,0,428.914,5253.93,2568.64,3103.38,1740.42,3673.12,7940.17,0,0,3461.81,0,0,0,0,0
CON_IPI00715548.1.SWISS.PROT.P15497,0,345.8535,0,0,0,0,0,0,1409.34,0,0,1747.93,0,346.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.276,1797.77,0,1314.26,0,0,0,0,0,0,0,0,0,0
CON_IPI00716455.1.SWISS.PROT.P02070,42499.45,35731.45,0,1006.18,0,7007.585,2711.49,1431.17,18643.6,2749.24,13152.6,2322.84,2438.59,8637.97,63236,0,2836.045,28826.1,6048.73,7963.44,4061.42,1050.63,1708.87,30084.4,1549.95,1875.6,3543.39,3377.89,2488.41,3520.57,4105.76,19248.7,6271.92,1527.94,29660.6,5720.32,4336.08,6651.64,45133.5,25474.4,58812.2,6380.405,1997.87,4662.14,2622.14,6772.51,931.829,8785.46,4494.96,9860.21,4015.38
CON_IPI00729194.2.ENSEMBL.ENSBTAP00000024146,0,0,0,0,0,707.802,0,0,0,0,3023.53,0,0,3042.82,789.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507.02,0,0,3715.5,0,1047.47,0,0,0,0,0,501.366,2421.19,0,0,0,0
CON_IPI00731432.2.SWISS.PROT.P04258,0,0,0,1162.32,0,0,0,0,1244.37,0,0,0,1676.54,0,649.231,0,1498.07,0,0,0,0,439.165,0,0,1464.83,3120.4,0,0,0,0,0,0,0,1512.88,887.413,639.458,1202.49,0,1473.3,0,0,0,0,0,0,0,0,0,0,1927.63,0
CON_IPI00787323.2.H.INV.HIT000292931,3585.72,1852.2,0,14949,32462.7,9799.375,21642.1,11995.2,4739.81,10191.2,2390.96,9800.47,3609.16,0,2959.35,0,12928.915,0,1937.24,4965,10573.7,12142.8,24128.4,6368.03,18222.5,4862.36,7672.43,17356.4,2079.65,5898.92,3528.15,5079.39,0,5525.58,8886.83,10345.7,13310.2,5546.97,8923.95,7542.39,48068.3,4675.925,1190.11,19093.6,0,2088.44,5375.7,17938.8,0,3598.45,4207.93
CON_IPI00828528.1.TREMBL.Q61782,6336.09,6778.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7582.09,3444.78,6859.35,0,0,0,3840.65,0,0,0,0,0,0,0,0,0,0,0,0,0,8532.32,0,0,0,0,0,0,0,4818.61,0,0,0,0,0
