NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	542	0.4006221294403076	-0.09574994	No	
row_1	VAV2	vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]	573	0.3862204849720001	-0.07700574	No	
row_2	CTNNA1	catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]	687	0.3395445942878723	-0.08005909	No	
row_3	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	717	0.32708945870399475	-0.06499482	No	
row_4	OCLN	occludin [Source:HGNC Symbol;Acc:HGNC:8104]	849	0.27052149176597595	-0.07666554	No	
row_5	AFDN	afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]	1097	0.19582858681678772	-0.119425066	No	
row_6	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	1160	0.18151146173477173	-0.12141655	No	
row_7	ARHGAP35	Rho GTPase activating protein 35 [Source:HGNC Symbol;Acc:HGNC:4591]	1266	0.1619693785905838	-0.13439432	No	
row_8	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	1491	0.11730889230966568	-0.17715378	No	
row_9	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	1563	0.10339640825986862	-0.18633382	No	
row_10	CTNND1	catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	1672	0.08321700990200043	-0.20518936	No	
row_11	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	1690	0.08083321899175644	-0.20368373	No	
row_12	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	1871	0.052376095205545425	-0.24081072	No	
row_13	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	2055	0.020863153040409088	-0.28069547	No	
row_14	SIPA1	signal-induced proliferation-associated 1 [Source:HGNC Symbol;Acc:HGNC:10885]	2068	0.019486667588353157	-0.28211418	No	
row_15	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	2178	0.0019884875509887934	-0.30656007	No	
row_16	VAV1	vav guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:12657]	2338	-0.024933716282248497	-0.34076446	No	
row_17	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	2491	-0.04675149917602539	-0.37194952	No	
row_18	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	2545	-0.05423496663570404	-0.38031787	No	
row_19	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	2737	-0.08417627215385437	-0.41782483	No	
row_20	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	2801	-0.09484542906284332	-0.42576578	No	
row_21	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	2990	-0.12635649740695953	-0.45981044	No	
row_22	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	3019	-0.13105720281600952	-0.45746797	No	
