NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	133	0.6968523263931274	0.026963769	No	
row_1	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	663	0.35095545649528503	-0.06323394	No	
row_2	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	686	0.34045568108558655	-0.040406656	No	
row_3	ANXA6	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]	801	0.28971683979034424	-0.042382695	No	
row_4	LGALS4	galectin 4 [Source:HGNC Symbol;Acc:HGNC:6565]	865	0.26710033416748047	-0.034747895	No	
row_5	LGALS16	galectin 16 [Source:HGNC Symbol;Acc:HGNC:40039]	1119	0.18992725014686584	-0.07608508	No	
row_6	ANXA9	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	1283	0.1587214469909668	-0.099751905	No	
row_7	ANXA7	annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]	1312	0.15337659418582916	-0.09353122	No	
row_8	LGALS8	galectin 8 [Source:HGNC Symbol;Acc:HGNC:6569]	1440	0.12576183676719666	-0.111800104	No	
row_9	GPC6	glypican 6 [Source:HGNC Symbol;Acc:HGNC:4454]	1467	0.12091469764709473	-0.10777791	No	
row_10	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	1984	0.03244386240839958	-0.22103463	No	
row_11	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	2821	-0.09951724112033844	-0.4006984	No	
row_12	COLEC11	collectin subfamily member 11 [Source:HGNC Symbol;Acc:HGNC:17213]	2873	-0.10824913531541824	-0.4033247	No	
row_13	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	3335	-0.18484245240688324	-0.4917972	No	
row_14	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	3413	-0.20003564655780792	-0.4927771	No	
row_15	CLEC14A	C-type lectin domain containing 14A [Source:HGNC Symbol;Acc:HGNC:19832]	3471	-0.21217188239097595	-0.48827478	No	
row_16	ANXA13	annexin A13 [Source:HGNC Symbol;Acc:HGNC:536]	3508	-0.2173919975757599	-0.4786297	No	
row_17	MUC13	mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]	3540	-0.22406992316246033	-0.46731684	No	
row_18	SEMA6C	semaphorin 6C [Source:HGNC Symbol;Acc:HGNC:10740]	3747	-0.2713521718978882	-0.49145564	No	
row_19	CLEC11A	C-type lectin domain containing 11A [Source:HGNC Symbol;Acc:HGNC:10576]	3871	-0.30520960688591003	-0.4941896	No	
row_20	ANXA11	annexin A11 [Source:HGNC Symbol;Acc:HGNC:535]	4098	-0.38898321986198425	-0.51322633	Yes	
row_21	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	4126	-0.3998797833919525	-0.48667526	Yes	
row_22	HPX	hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]	4187	-0.4290643632411957	-0.4651562	Yes	
row_23	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	4254	-0.4631964862346649	-0.4422009	Yes	
row_24	LGALS9	galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]	4305	-0.505204975605011	-0.41222534	Yes	
row_25	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29396]	4349	-0.5528202652931213	-0.37679374	Yes	
row_26	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	4362	-0.5642744302749634	-0.33346474	Yes	
row_27	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	4420	-0.6685169339179993	-0.29174113	Yes	
row_28	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	4438	-0.7155172824859619	-0.23719928	Yes	
row_29	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	4455	-0.7772971391677856	-0.1773938	Yes	
row_30	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	4476	-0.9546213150024414	-0.10402353	Yes	
row_31	ANXA3	annexin A3 [Source:HGNC Symbol;Acc:HGNC:541]	4483	-1.291885495185852	-4.0163286E-8	Yes	
