NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	133	0.6968523263931274	-0.018950822	No	
row_1	FGL1	fibrinogen like 1 [Source:HGNC Symbol;Acc:HGNC:3695]	403	0.4721282422542572	-0.07343146	No	
row_2	COL22A1	collagen type XXII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22989]	413	0.4666735529899597	-0.067484684	No	
row_3	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	444	0.4498107135295868	-0.06671675	No	
row_4	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	537	0.4022558927536011	-0.08120032	No	
row_5	F7	coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]	539	0.40212321281433105	-0.074503675	No	
row_6	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	565	0.3906920850276947	-0.07359061	No	
row_7	F9	coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551]	594	0.3790263831615448	-0.07357689	No	
row_8	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	663	0.35095545649528503	-0.08335788	No	
row_9	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	686	0.34045568108558655	-0.082612164	No	
row_10	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	690	0.3361820876598358	-0.077517375	No	
row_11	ANXA6	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]	801	0.28971683979034424	-0.09813017	No	
row_12	LGALS4	galectin 4 [Source:HGNC Symbol;Acc:HGNC:6565]	865	0.26710033416748047	-0.10819228	No	
row_13	DMBT1	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]	1081	0.20058225095272064	-0.15478238	No	
row_14	LGALS16	galectin 16 [Source:HGNC Symbol;Acc:HGNC:40039]	1119	0.18992725014686584	-0.1601222	No	
row_15	CSTB	cystatin B [Source:HGNC Symbol;Acc:HGNC:2482]	1135	0.18746981024742126	-0.16038333	No	
row_16	TINAGL1	tubulointerstitial nephritis antigen like 1 [Source:HGNC Symbol;Acc:HGNC:19168]	1167	0.18049483001232147	-0.16448905	No	
row_17	SERPINA4	serpin family A member 4 [Source:HGNC Symbol;Acc:HGNC:8948]	1199	0.1728247106075287	-0.16872694	No	
row_18	ADAMTSL4	ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706]	1225	0.16887159645557404	-0.1716363	No	
row_19	ANXA9	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	1283	0.1587214469909668	-0.18216935	No	
row_20	ANXA7	annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]	1312	0.15337659418582916	-0.18604405	No	
row_21	AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	1331	0.15060535073280334	-0.18763874	No	
row_22	COL18A1	collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195]	1389	0.13460850715637207	-0.19858733	No	
row_23	CTSA	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	1402	0.13196611404418945	-0.19910657	No	
row_24	SERPIND1	serpin family D member 1 [Source:HGNC Symbol;Acc:HGNC:4838]	1407	0.1311662644147873	-0.1977774	No	
row_25	LGALS8	galectin 8 [Source:HGNC Symbol;Acc:HGNC:6569]	1440	0.12576183676719666	-0.20305905	No	
row_26	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	1460	0.1225314512848854	-0.2053703	No	
row_27	GPC6	glypican 6 [Source:HGNC Symbol;Acc:HGNC:4454]	1467	0.12091469764709473	-0.20468333	No	
row_28	CTSZ	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]	1586	0.09874947369098663	-0.2304491	No	
row_29	MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	1588	0.09830980747938156	-0.22898778	No	
row_30	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]	1613	0.0933241993188858	-0.2329662	No	
row_31	AMBP	alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453]	1689	0.08094192296266556	-0.24902952	No	
row_32	LPA	lipoprotein(a) [Source:HGNC Symbol;Acc:HGNC:6667]	1813	0.05981479212641716	-0.27663007	No	
row_33	COL6A6	collagen type VI alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:27023]	1822	0.05883191525936127	-0.27747846	No	
row_34	LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	1833	0.05701572075486183	-0.2788237	No	
row_35	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	1847	0.05524797737598419	-0.28089774	No	
row_36	KNG1	kininogen 1 [Source:HGNC Symbol;Acc:HGNC:6383]	1887	0.04871072620153427	-0.28913656	No	
row_37	SERPINA5	serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723]	1918	0.043692655861377716	-0.29536688	No	
row_38	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	1949	0.037629783153533936	-0.3017017	No	
row_39	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	1984	0.03244386240839958	-0.30905697	No	
row_40	PRG4	proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]	2002	0.02869885042309761	-0.31251958	No	
row_41	VWA5B1	von Willebrand factor A domain containing 5B1 [Source:HGNC Symbol;Acc:HGNC:26538]	2020	0.025605645030736923	-0.3160355	No	
row_42	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	2038	0.02391839772462845	-0.31958053	No	
row_43	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	2044	0.022479481995105743	-0.32035702	No	
row_44	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	2119	0.011197763495147228	-0.3373894	No	
row_45	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	2133	0.008364683948457241	-0.34027132	No	
row_46	MFAP1	microfibril associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7032]	2143	0.006624679081141949	-0.34225214	No	
row_47	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	2216	-0.00662816921249032	-0.35889772	No	
row_48	SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	2224	-0.007982270792126656	-0.36038956	No	
row_49	COL21A1	collagen type XXI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:17025]	2325	-0.02355567179620266	-0.3832611	No	
row_50	CPN2	carboxypeptidase N subunit 2 [Source:HGNC Symbol;Acc:HGNC:2313]	2329	-0.02398192323744297	-0.3835462	No	
row_51	VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]	2386	-0.03360207378864288	-0.39600253	No	
