NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	133	0.6968523263931274	-0.01257924	No	
row_1	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	444	0.4498107135295868	-0.07193327	No	
row_2	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	537	0.4022558927536011	-0.08267487	No	
row_3	F7	coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]	539	0.40212321281433105	-0.07261985	No	
row_4	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	565	0.3906920850276947	-0.06834288	No	
row_5	F9	coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551]	594	0.3790263831615448	-0.065049954	No	
row_6	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	663	0.35095545649528503	-0.071617745	No	
row_7	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	686	0.34045568108558655	-0.06793977	No	
row_8	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	690	0.3361820876598358	-0.060028225	No	
row_9	ANXA6	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]	801	0.28971683979034424	-0.07776209	No	
row_10	LGALS4	galectin 4 [Source:HGNC Symbol;Acc:HGNC:6565]	865	0.26710033416748047	-0.08533147	No	
row_11	LGALS16	galectin 16 [Source:HGNC Symbol;Acc:HGNC:40039]	1119	0.18992725014686584	-0.138303	No	
row_12	CSTB	cystatin B [Source:HGNC Symbol;Acc:HGNC:2482]	1135	0.18746981024742126	-0.13693735	No	
row_13	SERPINA4	serpin family A member 4 [Source:HGNC Symbol;Acc:HGNC:8948]	1199	0.1728247106075287	-0.14691767	No	
row_14	ADAMTSL4	ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706]	1225	0.16887159645557404	-0.14831337	No	
row_15	ANXA9	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	1283	0.1587214469909668	-0.15728292	No	
row_16	ANXA7	annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]	1312	0.15337659418582916	-0.15976058	No	
row_17	AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	1331	0.15060535073280334	-0.1600234	No	
row_18	CTSA	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	1402	0.13196611404418945	-0.17264861	No	
row_19	SERPIND1	serpin family D member 1 [Source:HGNC Symbol;Acc:HGNC:4838]	1407	0.1311662644147873	-0.17020854	No	
row_20	LGALS8	galectin 8 [Source:HGNC Symbol;Acc:HGNC:6569]	1440	0.12576183676719666	-0.1743067	No	
row_21	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	1460	0.1225314512848854	-0.17551604	No	
row_22	GPC6	glypican 6 [Source:HGNC Symbol;Acc:HGNC:4454]	1467	0.12091469764709473	-0.17379528	No	
row_23	CTSZ	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]	1586	0.09874947369098663	-0.19824137	No	
row_24	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]	1613	0.0933241993188858	-0.20179762	No	
row_25	AMBP	alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453]	1689	0.08094192296266556	-0.21687053	No	
row_26	LPA	lipoprotein(a) [Source:HGNC Symbol;Acc:HGNC:6667]	1813	0.05981479212641716	-0.24345517	No	
row_27	KNG1	kininogen 1 [Source:HGNC Symbol;Acc:HGNC:6383]	1887	0.04871072620153427	-0.2588952	No	
row_28	SERPINA5	serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723]	1918	0.043692655861377716	-0.26463497	No	
row_29	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	1949	0.037629783153533936	-0.2705298	No	
row_30	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	1984	0.03244386240839958	-0.27747154	No	
row_31	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	2038	0.02391839772462845	-0.28897414	No	
row_32	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	2119	0.011197763495147228	-0.3069735	No	
row_33	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	2216	-0.00662816921249032	-0.32874686	No	
row_34	SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	2224	-0.007982270792126656	-0.3301427	No	
row_35	CPN2	carboxypeptidase N subunit 2 [Source:HGNC Symbol;Acc:HGNC:2313]	2329	-0.02398192323744297	-0.35330084	No	
row_36	CCL11	C-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10610]	2509	-0.05012598633766174	-0.39293325	No	
row_37	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	2674	-0.07405722141265869	-0.4285251	No	
row_38	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	2821	-0.09951724112033844	-0.45935154	No	
row_39	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	2823	-0.09975545108318329	-0.45702904	No	
row_40	INHBE	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	2831	-0.1012907326221466	-0.4560387	No	
row_41	ITIH4	inter-alpha-trypsin inhibitor heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:6169]	2869	-0.1078362837433815	-0.46173814	No	
row_42	COLEC11	collectin subfamily member 11 [Source:HGNC Symbol;Acc:HGNC:17213]	2873	-0.10824913531541824	-0.45965558	No	
row_43	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	2939	-0.1189802810549736	-0.47147	No	
row_44	ITIH2	inter-alpha-trypsin inhibitor heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:6167]	3051	-0.13567039370536804	-0.4933719	No	
row_45	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	3335	-0.18484245240688324	-0.5533306	No	
row_46	EGLN1	egl-9 family hypoxia inducible factor 1 [Source:HGNC Symbol;Acc:HGNC:1232]	3341	-0.18602819740772247	-0.5497161	No	
row_47	F13A1	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	3371	-0.19143229722976685	-0.5514491	No	
row_48	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	3413	-0.20003564655780792	-0.555705	No	
row_49	CLEC14A	C-type lectin domain containing 14A [Source:HGNC Symbol;Acc:HGNC:19832]	3471	-0.21217188239097595	-0.56330764	No	
row_50	ANXA13	annexin A13 [Source:HGNC Symbol;Acc:HGNC:536]	3508	-0.2173919975757599	-0.56597686	No	
row_51	MUC13	mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]	3540	-0.22406992316246033	-0.5673323	No	
row_52	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	3648	-0.24555470049381256	-0.5855099	No	
row_53	IL16	interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]	3674	-0.25007423758506775	-0.584829	No	
row_54	HCFC1	host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839]	3698	-0.25650444626808167	-0.58352643	No	
