NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	2038	0.02391839772462845	-0.45331517	No	
row_1	CCL11	C-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10610]	2509	-0.05012598633766174	-0.5524129	No	
row_2	INHBE	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	2831	-0.1012907326221466	-0.6119099	No	
row_3	IL16	interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]	3674	-0.25007423758506775	-0.7698798	Yes	
row_4	HCFC1	host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839]	3698	-0.25650444626808167	-0.7437203	Yes	
row_5	S100A16	S100 calcium binding protein A16 [Source:HGNC Symbol;Acc:HGNC:20441]	3792	-0.28290510177612305	-0.7300089	Yes	
row_6	FLG	filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]	3797	-0.2838926315307617	-0.69625306	Yes	
row_7	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	3911	-0.3179260194301605	-0.6827443	Yes	
row_8	FGF3	fibroblast growth factor 3 [Source:HGNC Symbol;Acc:HGNC:3681]	3941	-0.3292935788631439	-0.64904356	Yes	
row_9	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	4108	-0.3918822109699249	-0.6383727	Yes	
row_10	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	4321	-0.5210688710212708	-0.62223136	Yes	
row_11	S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]	4405	-0.6376016139984131	-0.5629878	Yes	
row_12	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	4440	-0.7209411263465881	-0.48260272	Yes	
row_13	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	4449	-0.7602069973945618	-0.39160448	Yes	
row_14	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	4467	-0.8312690258026123	-0.29394734	Yes	
row_15	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	4481	-1.2143827676773071	-0.1486327	Yes	
row_16	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	4482	-1.2195595502853394	2.2399004E-4	Yes	
