NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2D6	cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625]	0	1.1439474821090698	0.020772282	Yes	
row_1	MAT1A	methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]	3	1.0542553663253784	0.039457288	Yes	
row_2	ADH6	alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]	18	0.8918924927711487	0.052442376	Yes	
row_3	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	23	0.8801313042640686	0.067506954	Yes	
row_4	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	28	0.8696191906929016	0.082380645	Yes	
row_5	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]	38	0.8510837554931641	0.09577124	Yes	
row_6	OPLAH	5-oxoprolinase, ATP-hydrolysing [Source:HGNC Symbol;Acc:HGNC:8149]	45	0.8296353220939636	0.10946027	Yes	
row_7	CYP2C8	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	51	0.8188368678092957	0.123182535	Yes	
row_8	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	61	0.7964626550674438	0.13558128	Yes	
row_9	ACSM2B	acyl-CoA synthetase medium chain family member 2B [Source:HGNC Symbol;Acc:HGNC:30931]	65	0.794551432132721	0.14932118	Yes	
row_10	SULT2A1	sulfotransferase family 2A member 1 [Source:HGNC Symbol;Acc:HGNC:11458]	70	0.7849776148796082	0.16265792	Yes	
row_11	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	79	0.7574195265769958	0.17457701	Yes	
row_12	CMBL	carboxymethylenebutenolidase homolog [Source:HGNC Symbol;Acc:HGNC:25090]	81	0.7528474926948547	0.18801823	Yes	
row_13	BPHL	biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]	87	0.7414369583129883	0.20033503	Yes	
row_14	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	90	0.7349507212638855	0.21322197	Yes	
row_15	ABHD14B	abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235]	94	0.7304373383522034	0.22579764	Yes	
row_16	AADAC	arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]	95	0.7304259538650513	0.23906103	Yes	
row_17	MTARC2	mitochondrial amidoxime reducing component 2 [Source:HGNC Symbol;Acc:HGNC:26064]	100	0.7237951755523682	0.25128677	Yes	
row_18	GSTA1	glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]	103	0.7213957905769348	0.26392758	Yes	
row_19	GLYAT	glycine-N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:13734]	109	0.717862069606781	0.2758163	Yes	
row_20	MGST2	microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063]	122	0.7074222564697266	0.2859103	Yes	
row_21	GLYATL1	glycine-N-acyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:30519]	135	0.69478839635849	0.2957749	Yes	
row_22	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]	138	0.6890343427658081	0.30782807	Yes	
row_23	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	143	0.6860453486442566	0.31936836	Yes	
row_24	AKR7A3	aldo-keto reductase family 7 member A3 [Source:HGNC Symbol;Acc:HGNC:390]	149	0.6732995510101318	0.33044788	Yes	
row_25	CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	152	0.6688369512557983	0.3421343	Yes	
row_26	AS3MT	arsenite methyltransferase [Source:HGNC Symbol;Acc:HGNC:17452]	160	0.6642256379127502	0.35259044	Yes	
row_27	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	167	0.6575053930282593	0.36315387	Yes	
row_28	FMO3	flavin containing dimethylaniline monoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]	170	0.6484773755073547	0.3744706	Yes	
row_29	CYP4A11	cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]	173	0.6469270586967468	0.38575917	Yes	
row_30	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	176	0.6437135338783264	0.39698938	Yes	
row_31	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	180	0.6418590545654297	0.4079566	Yes	
row_32	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]	182	0.6384908556938171	0.4193213	Yes	
row_33	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]	199	0.6206941604614258	0.42692325	Yes	
row_34	CES2	carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864]	209	0.6086015105247498	0.43591073	Yes	
row_35	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]	213	0.6040412187576294	0.44619125	Yes	
row_36	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	217	0.6029013395309448	0.45645106	Yes	
row_37	AHCY	adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]	239	0.5859673619270325	0.4622759	Yes	
row_38	CYP2A6	cytochrome P450 family 2 subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:2610]	242	0.583932638168335	0.4724206	Yes	
row_39	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	250	0.5783902406692505	0.48131812	Yes	
row_40	CYP4F2	cytochrome P450 family 4 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:2645]	251	0.5781605839729309	0.49181658	Yes	
row_41	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	255	0.5766685009002686	0.5016001	Yes	
row_42	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	275	0.558181881904602	0.507379	Yes	
row_43	ESD	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]	284	0.5520995855331421	0.5155698	Yes	
row_44	CES1	carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]	287	0.5513225197792053	0.52512234	Yes	
row_45	UGT1A1	UDP glucuronosyltransferase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:12530]	296	0.545981764793396	0.53320205	Yes	
row_46	UGT1A4	UDP glucuronosyltransferase family 1 member A4 [Source:HGNC Symbol;Acc:HGNC:12536]	302	0.5411286950111389	0.54188156	Yes	
row_47	UGT2B15	UDP glucuronosyltransferase family 2 member B15 [Source:HGNC Symbol;Acc:HGNC:12546]	304	0.5398615002632141	0.5514553	Yes	
row_48	FDXR	ferredoxin reductase [Source:HGNC Symbol;Acc:HGNC:3642]	305	0.5396661162376404	0.5612548	Yes	
row_49	ACSM2A	acyl-CoA synthetase medium chain family member 2A [Source:HGNC Symbol;Acc:HGNC:32017]	323	0.5259953737258911	0.5669078	Yes	
row_50	CYP8B1	cytochrome P450 family 8 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2653]	338	0.5154335498809814	0.57305706	Yes	
row_51	CYP4F3	cytochrome P450 family 4 subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:2646]	349	0.5106692314147949	0.58003694	Yes	
