NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAT1A	methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]	3	1.0542553663253784	0.012390844	Yes	
row_1	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:8646]	7	0.9860752820968628	0.023934325	Yes	
row_2	SARDH	sarcosine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:10536]	12	0.9323781132698059	0.034573197	Yes	
row_3	GLUD1	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	13	0.9236881732940674	0.046053056	Yes	
row_4	ACADSB	acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]	16	0.8963215947151184	0.0567183	Yes	
row_5	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	17	0.8949623703956604	0.06784115	Yes	
row_6	PIPOX	pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804]	21	0.8854730725288391	0.07813432	Yes	
row_7	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	22	0.8835424780845642	0.08911524	Yes	
row_8	DHTKD1	dehydrogenase E1 and transketolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23537]	25	0.8761042356491089	0.099529214	Yes	
row_9	MPST	mercaptopyruvate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:7223]	29	0.8667784929275513	0.109590046	Yes	
row_10	FTCD	formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]	36	0.8553152084350586	0.11879666	Yes	
row_11	ALDH4A1	aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]	39	0.8486538529396057	0.12886947	Yes	
row_12	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	42	0.8353894352912903	0.13877743	Yes	
row_13	ASL	argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]	44	0.8302331566810608	0.14885856	Yes	
row_14	ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	48	0.8221033811569214	0.15836416	Yes	
row_15	ARG1	arginase 1 [Source:HGNC Symbol;Acc:HGNC:663]	49	0.8219367861747742	0.16857943	Yes	
row_16	OTC	ornithine carbamoyltransferase [Source:HGNC Symbol;Acc:HGNC:8512]	50	0.8210932612419128	0.1787842	Yes	
row_17	AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]	55	0.8163315653800964	0.18798082	Yes	
row_18	ALDH7A1	aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]	58	0.8104380965232849	0.19757868	Yes	
row_19	ECHS1	enoyl-CoA hydratase, short chain 1 [Source:HGNC Symbol;Acc:HGNC:3151]	67	0.7899194359779358	0.20549804	Yes	
row_20	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	71	0.7847618460655212	0.21453954	Yes	
row_21	CPS1	carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]	72	0.7784369587898254	0.22421418	Yes	
row_22	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	76	0.7689948678016663	0.23305972	Yes	
row_23	HAO1	hydroxyacid oxidase 1 [Source:HGNC Symbol;Acc:HGNC:4809]	82	0.7528010010719299	0.2412295	Yes	
row_24	AGMAT	agmatinase [Source:HGNC Symbol;Acc:HGNC:18407]	84	0.7493259310722351	0.2503051	Yes	
row_25	RIDA	reactive intermediate imine deaminase A homolog [Source:HGNC Symbol;Acc:HGNC:16897]	91	0.7347954511642456	0.25801387	Yes	
row_26	IVD	isovaleryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:6186]	96	0.7270048260688782	0.2661003	Yes	
row_27	GATM	glycine amidinotransferase [Source:HGNC Symbol;Acc:HGNC:4175]	106	0.7198721766471863	0.27291185	Yes	
row_28	GLDC	glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]	113	0.715347170829773	0.28037888	Yes	
row_29	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	115	0.7132779955863953	0.28900647	Yes	
row_30	GOT2	glutamic-oxaloacetic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4433]	119	0.7082268595695496	0.29709676	Yes	
row_31	GRHPR	glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]	120	0.7081020474433899	0.30589727	Yes	
row_32	DMGDH	dimethylglycine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24475]	131	0.698802649974823	0.3122097	Yes	
row_33	SEPHS2	selenophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:19686]	139	0.6884569525718689	0.3191053	Yes	
row_34	HPD	4-hydroxyphenylpyruvate dioxygenase [Source:HGNC Symbol;Acc:HGNC:5147]	142	0.6861568093299866	0.32715857	Yes	
row_35	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	163	0.6609336733818054	0.3306279	Yes	
row_36	SLC25A10	solute carrier family 25 member 10 [Source:HGNC Symbol;Acc:HGNC:10980]	175	0.6450093388557434	0.3360345	Yes	
row_37	MCCC2	methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]	188	0.6267517805099487	0.34097698	Yes	
row_38	PRODH2	proline dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:17325]	190	0.6246349811553955	0.34850287	Yes	
row_39	DAO	D-amino acid oxidase [Source:HGNC Symbol;Acc:HGNC:2671]	194	0.6236053109169006	0.3555415	Yes	
row_40	HGD	homogentisate 1,2-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4892]	198	0.6212708950042725	0.36255106	Yes	
row_41	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	205	0.6123301982879639	0.3687378	Yes	
row_42	GCDH	glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4189]	207	0.6114459037780762	0.37609977	Yes	
row_43	HIBADH	3-hydroxyisobutyrate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4907]	219	0.6012973189353943	0.38096315	Yes	
row_44	GNMT	glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]	228	0.5950919389724731	0.38646114	Yes	
row_45	SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase [Source:HGNC Symbol;Acc:HGNC:30605]	233	0.5877057313919067	0.3928163	Yes	
row_46	AHCY	adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]	239	0.5859673619270325	0.39891264	Yes	
row_47	BHMT2	betaine--homocysteine S-methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:1048]	240	0.5855033993721008	0.40618944	Yes	
row_48	PSMB6	proteasome 20S subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:9543]	241	0.5843304991722107	0.41345167	Yes	
row_49	HAAO	3-hydroxyanthranilate 3,4-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4796]	258	0.5740554928779602	0.41679025	Yes	
row_50	DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	263	0.5700826048851013	0.4229264	Yes	
row_51	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]	272	0.5603616833686829	0.42799276	Yes	
row_52	AMDHD1	amidohydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28577]	285	0.5520751476287842	0.43200713	Yes	
row_53	KMO	kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381]	290	0.5492409467697144	0.43788424	Yes	
row_54	TXN2	thioredoxin 2 [Source:HGNC Symbol;Acc:HGNC:17772]	308	0.5351735949516296	0.44050232	Yes	
row_55	AASS	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]	312	0.5317527651786804	0.44639936	Yes	
row_56	AFMID	arylformamidase [Source:HGNC Symbol;Acc:HGNC:20910]	316	0.5299136638641357	0.45227355	Yes	
row_57	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	320	0.5277600884437561	0.45812094	Yes	
row_58	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	332	0.5199376344680786	0.46197316	Yes	
row_59	ADI1	acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]	341	0.5139259696006775	0.46646237	Yes	
row_60	BHMT	betaine--homocysteine S-methyltransferase [Source:HGNC Symbol;Acc:HGNC:1047]	342	0.5132293701171875	0.47284093	Yes	
row_61	AMT	aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]	345	0.5118229389190674	0.47872755	Yes	
