NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	10	0.9683260917663574	0.026475364	Yes	
row_1	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	14	0.9033143520355225	0.052613176	Yes	
row_2	ALDH1L1	aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]	53	0.8187016248703003	0.068275146	Yes	
row_3	MMUT	methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526]	56	0.8141496181488037	0.09199309	Yes	
row_4	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	75	0.7702857255935669	0.11076816	Yes	
row_5	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	80	0.7532361149787903	0.13222246	Yes	
row_6	NADK2	NAD kinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26404]	86	0.7427533864974976	0.15313797	Yes	
row_7	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	133	0.6968523263931274	0.16336185	Yes	
row_8	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	162	0.6620669960975647	0.17664848	Yes	
row_9	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	163	0.6609336733818054	0.19627234	Yes	
row_10	GCHFR	GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]	169	0.6541367769241333	0.21455672	Yes	
row_11	QPRT	quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:9755]	174	0.6450119614601135	0.23279773	Yes	
row_12	MTHFS	methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]	186	0.629702627658844	0.24899144	Yes	
row_13	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	187	0.6294845938682556	0.26768154	Yes	
row_14	MCCC2	methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]	188	0.6267517805099487	0.2862905	Yes	
row_15	AKR1C4	aldo-keto reductase family 1 member C4 [Source:HGNC Symbol;Acc:HGNC:387]	189	0.625464677810669	0.30486125	Yes	
row_16	PCCA	propionyl-CoA carboxylase subunit alpha [Source:HGNC Symbol;Acc:HGNC:8653]	191	0.6244315505027771	0.3231738	Yes	
row_17	PCCB	propionyl-CoA carboxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8654]	192	0.6243968605995178	0.3417128	Yes	
row_18	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	250	0.5783902406692505	0.34591657	Yes	
row_19	MMAB	metabolism of cobalamin associated B [Source:HGNC Symbol;Acc:HGNC:19331]	260	0.5717589855194092	0.36084494	Yes	
row_20	PNPO	pyridoxamine 5'-phosphate oxidase [Source:HGNC Symbol;Acc:HGNC:30260]	270	0.561524510383606	0.37546945	Yes	
row_21	GPHN	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]	310	0.5334745049476624	0.3824352	Yes	
row_22	NAPRT	nicotinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30450]	311	0.532684862613678	0.3982512	Yes	
row_23	CYP8B1	cytochrome P450 family 8 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2653]	338	0.5154335498809814	0.40763918	Yes	
row_24	ACACB	acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]	344	0.5126386284828186	0.42172232	Yes	
row_25	MCCC1	methylcrotonoyl-CoA carboxylase 1 [Source:HGNC Symbol;Acc:HGNC:6936]	352	0.507698118686676	0.43520373	Yes	
row_26	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	364	0.4987514615058899	0.44750938	Yes	
row_27	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	412	0.46713969111442566	0.4506853	Yes	
row_28	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	418	0.4640580117702484	0.46332604	Yes	
row_29	NAXD	NAD(P)HX dehydratase [Source:HGNC Symbol;Acc:HGNC:25576]	445	0.44920289516448975	0.47074756	Yes	
row_30	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	484	0.4261570870876312	0.47475445	Yes	
row_31	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	506	0.4139443039894104	0.48226675	Yes	
row_32	SPR	sepiapterin reductase [Source:HGNC Symbol;Acc:HGNC:11257]	530	0.40605399012565613	0.48908973	Yes	
row_33	APOM	apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]	560	0.392271488904953	0.4941383	Yes	
row_34	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	564	0.39075055718421936	0.5050575	Yes	
row_35	PDSS2	decaprenyl diphosphate synthase subunit 2 [Source:HGNC Symbol;Acc:HGNC:23041]	585	0.3825463354587555	0.51186514	Yes	
row_36	APOC2	apolipoprotein C2 [Source:HGNC Symbol;Acc:HGNC:609]	589	0.38061413168907166	0.5224834	Yes	
row_37	TTPA	alpha tocopherol transfer protein [Source:HGNC Symbol;Acc:HGNC:12404]	597	0.3787215054035187	0.5321353	Yes	
row_38	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	614	0.37363681197166443	0.5395885	Yes	
row_39	RDH11	retinol dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:17964]	643	0.36258429288864136	0.54398316	Yes	
row_40	NAXE	NAD(P)HX epimerase [Source:HGNC Symbol;Acc:HGNC:18453]	647	0.36147499084472656	0.55403316	Yes	
row_41	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	663	0.35095545649528503	0.56104046	Yes	
row_42	CUBN	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]	695	0.33454030752182007	0.56391984	Yes	
row_43	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:3356]	696	0.33429887890815735	0.57384557	Yes	
row_44	COQ5	coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]	702	0.33150023221969604	0.5825505	Yes	
row_45	AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	753	0.31173262000083923	0.5804296	Yes	
row_46	COASY	Coenzyme A synthase [Source:HGNC Symbol;Acc:HGNC:29932]	763	0.3074585497379303	0.58751065	Yes	
row_47	COQ6	coenzyme Q6, monooxygenase [Source:HGNC Symbol;Acc:HGNC:20233]	777	0.3008270561695099	0.59348464	Yes	
row_48	CYB5R3	cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]	799	0.29000726342201233	0.5973171	Yes	
row_49	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	813	0.2852395176887512	0.60282826	Yes	
row_50	FLAD1	flavin adenine dinucleotide synthetase 1 [Source:HGNC Symbol;Acc:HGNC:24671]	851	0.2696608901023865	0.60241616	Yes	
