NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	10	0.9683260917663574	0.04313373	Yes	
row_1	ALDH1L1	aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]	53	0.8187016248703003	0.072031915	Yes	
row_2	MMUT	methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526]	56	0.8141496181488037	0.10974404	Yes	
row_3	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	75	0.7702857255935669	0.14178911	Yes	
row_4	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	80	0.7532361149787903	0.17619452	Yes	
row_5	NADK2	NAD kinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26404]	86	0.7427533864974976	0.20988289	Yes	
row_6	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	162	0.6620669960975647	0.22399125	Yes	
row_7	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	163	0.6609336733818054	0.2549727	Yes	
row_8	QPRT	quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:9755]	174	0.6450119614601135	0.282951	Yes	
row_9	MTHFS	methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]	186	0.629702627658844	0.30998597	Yes	
row_10	MCCC2	methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]	188	0.6267517805099487	0.33913943	Yes	
row_11	PCCA	propionyl-CoA carboxylase subunit alpha [Source:HGNC Symbol;Acc:HGNC:8653]	191	0.6244315505027771	0.3679585	Yes	
row_12	PCCB	propionyl-CoA carboxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8654]	192	0.6243968605995178	0.39722726	Yes	
row_13	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	250	0.5783902406692505	0.41147554	Yes	
row_14	MMAB	metabolism of cobalamin associated B [Source:HGNC Symbol;Acc:HGNC:19331]	260	0.5717589855194092	0.43624574	Yes	
row_15	PNPO	pyridoxamine 5'-phosphate oxidase [Source:HGNC Symbol;Acc:HGNC:30260]	270	0.561524510383606	0.4605362	Yes	
row_16	GPHN	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]	310	0.5334745049476624	0.47674137	Yes	
row_17	NAPRT	nicotinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30450]	311	0.532684862613678	0.50171113	Yes	
