NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	20	0.8867835402488708	0.0137752695	No	
row_1	ARHGAP18	Rho GTPase activating protein 18 [Source:HGNC Symbol;Acc:HGNC:21035]	450	0.44799676537513733	-0.076367125	No	
row_2	VAV2	vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]	573	0.3862204849720001	-0.09662846	No	
row_3	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	606	0.3770325481891632	-0.09621824	No	
row_4	BAIAP2	BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947]	650	0.36045560240745544	-0.098702036	No	
row_5	ARPC1A	actin related protein 2/3 complex subunit 1A [Source:HGNC Symbol;Acc:HGNC:703]	664	0.35054269433021545	-0.09443754	No	
row_6	CTNNA1	catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]	687	0.3395445942878723	-0.09248761	No	
row_7	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	717	0.32708945870399475	-0.0924189	No	
row_8	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540]	802	0.28950759768486023	-0.10587965	No	
row_9	SGO2	shugoshin 2 [Source:HGNC Symbol;Acc:HGNC:30812]	819	0.2829585075378418	-0.10371374	No	
row_10	KLC4	kinesin light chain 4 [Source:HGNC Symbol;Acc:HGNC:21624]	841	0.2724485695362091	-0.102925055	No	
row_11	NUP133	nucleoporin 133 [Source:HGNC Symbol;Acc:HGNC:18016]	854	0.2690301239490509	-0.10012111	No	
row_12	KNTC1	kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255]	877	0.2627682685852051	-0.09976521	No	
row_13	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	947	0.24002359807491302	-0.11077629	No	
row_14	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	989	0.2254701405763626	-0.115599036	No	
row_15	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]	992	0.2243027538061142	-0.111405686	No	
row_16	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]	1121	0.18929673731327057	-0.13714635	No	
row_17	ARHGEF40	Rho guanine nucleotide exchange factor 40 [Source:HGNC Symbol;Acc:HGNC:25516]	1123	0.18921422958374023	-0.1334497	No	
row_18	TUBB8	tubulin beta 8 class VIII [Source:HGNC Symbol;Acc:HGNC:20773]	1126	0.18871665000915527	-0.1299952	No	
row_19	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta [Source:HGNC Symbol;Acc:HGNC:9312]	1145	0.18444804847240448	-0.13033816	No	
row_20	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	1152	0.1829560548067093	-0.12793046	No	
row_21	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	1185	0.1761244237422943	-0.13169149	No	
row_22	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]	1226	0.16886179149150848	-0.13745773	No	
row_23	ARHGAP35	Rho GTPase activating protein 35 [Source:HGNC Symbol;Acc:HGNC:4591]	1266	0.1619693785905838	-0.14313526	No	
row_24	ARHGEF7	Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607]	1435	0.12644734978675842	-0.17945294	No	
row_25	NUP37	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	1502	0.1145719438791275	-0.19237323	No	
row_26	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	1563	0.10339640825986862	-0.20413473	No	
row_27	KNL1	kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]	1609	0.09365925192832947	-0.21262135	No	
row_28	RPS27	ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416]	1642	0.08849770575761795	-0.21820167	No	
row_29	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	1690	0.08083321899175644	-0.22741817	No	
row_30	TUBB4B	tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771]	1724	0.07353493571281433	-0.23354095	No	
row_31	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	1744	0.0716714859008789	-0.23645718	No	
row_32	OCRL	OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]	1781	0.06661782413721085	-0.24341899	No	
row_33	CTTN	cortactin [Source:HGNC Symbol;Acc:HGNC:3338]	1821	0.05893206596374512	-0.25123578	No	
