NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	914	0.2504071295261383	-0.17868128	No	
row_1	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta [Source:HGNC Symbol;Acc:HGNC:9312]	1145	0.18444804847240448	-0.21055634	No	
row_2	SAA1	serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]	1480	0.11859507113695145	-0.2729315	No	
row_3	UBE2V1	ubiquitin conjugating enzyme E2 V1 [Source:HGNC Symbol;Acc:HGNC:12494]	1568	0.10277184844017029	-0.28143153	No	
row_4	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	1696	0.07863791286945343	-0.30153367	No	
row_5	HMGB1	high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983]	1758	0.07048371434211731	-0.3076632	No	
row_6	SKP1	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]	1855	0.05463627353310585	-0.32337657	No	
row_7	NKIRAS2	NFKB inhibitor interacting Ras like 2 [Source:HGNC Symbol;Acc:HGNC:17898]	1892	0.047652360051870346	-0.32634133	No	
row_8	DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	2012	0.02764451503753662	-0.35013944	No	
row_9	PELI3	pellino E3 ubiquitin protein ligase family member 3 [Source:HGNC Symbol;Acc:HGNC:30010]	2098	0.013574851676821709	-0.36780325	No	
row_10	LBP	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]	2106	0.012713364325463772	-0.36800814	No	
row_11	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	2178	0.0019884875509887934	-0.3837704	No	
row_12	IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [Source:HGNC Symbol;Acc:HGNC:5961]	2241	-0.010546562261879444	-0.39658508	No	
