NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ITSN2	1	Q9NZM3	
SCOC	1	Q9UIL1	
NUP107	1	P57740	
TFRC	1	P02786	
ITSN1	1	Q15811	
ALKBH2	1	Q6NS38	
CAPNS1	1	P04632	
SCP2	1	P22307	
CAPNS2	1	Q96L46	
DPYSL2	1	Q16555	
DPYSL3	1	Q14195	
FAM110B	1	Q8TC76	
EPSTI1	1	Q96J88	
CKMT1B	1	P12532	
ANKFY1	1	Q9P2R3	
IGHV3-7	1	P01780	
PRKACA	1	P17612	
PRKACB	1	P22694	
GSTK1	1	Q9Y2Q3	
PRKAB2	1	O43741	
SAP30BP	1	Q9UHR5	
SDS	1	P20132	
CXADR	1	P78310	
FNBP1	1	Q96RU3	
LARS2	1	Q15031	
SCO1	1	O75880	
MTHFD1	1	P11586	
SCO2	1	O43819	
EWSR1	1	Q01844	
TFR2	1	Q9UP52	
ZC3H11A	1	O75152	
LARS1	1	Q9P2J5	
PLBD2	1	Q8NHP8	
OPTN	1	Q96CV9	
SF1	1	Q15637	
SET	1	Q01105	
SAR1A	1	Q9NR31	
SHMT2	1	P34897	
SAR1B	1	Q9Y6B6	
SHMT1	1	P34896	
ZC3HAV1	1	Q7Z2W4	
PRPSAP1	1	Q14558	
PRPSAP2	1	O60256	
LARP1	1	Q6PKG0	
RDH11	1	Q8TC12	
AGMO	1	Q6ZNB7	
RDH10	1	Q8IZV5	
RDH16	1	O75452	
SFN	1	P31947	
RDH14	1	Q9HBH5	
LTA4H	1	P09960	
RDH13	1	Q8NBN7	
GSTM3	1	P21266	
PRPF38B	1	Q5VTL8	
GSTM1	1	P09488	
HLA-DRB4	1	P13762	
PRPF38A	1	Q8NAV1	
JUP	1	P14923	
EIF2AK2	1	P19525	
LARP7	1	Q4G0J3	
IGHV3-15	1	A0A0B4J1V0	
LARP4	1	Q71RC2	
MOV10	1	Q9HCE1	
PPFIBP1	1	Q86W92	
PPFIBP2	1	Q8ND30	
AGO1	1	Q9UL18	
FXYD1	1	O00168	
AGO2	1	Q9UKV8	
NMT1	1	P30419	
SFXN3	1	Q9BWM7	
SFXN4	1	Q6P4A7	
STRN	1	O43815	
SFXN1	1	Q9H9B4	
HYOU1	1	Q9Y4L1	
SFXN2	1	Q96NB2	
HLA-DRB3	1	P79483	
DZIP1	1	Q86YF9	
LGMN	1	Q99538	
DPYS	1	Q14117	
PRKAG1	1	P54619	
SNX12	1	Q9UMY4	
NHSL1	1	Q5SYE7	
NEFM	1	P07197	
DUSP3	1	P51452	
GSTO1	1	P78417	
BGN	1	P21810	
TEX15	1	Q9BXT5	
SDHAF2	1	Q9NX18	
PTRH2	1	Q9Y3E5	
AGPS	1	O00116	
DPYD	1	Q12882	
RAPGEF2	1	Q9Y4G8	
CRYAB	1	P02511	
PAFAH1B3	1	Q15102	
PAFAH1B2	1	P68402	
PAFAH1B1	1	P43034	
TRUB1	1	Q8WWH5	
APCS	1	P02743	
ECHS1	1	P30084	
GSTP1	1	P09211	
SYNPO2	1	Q9UMS6	
SNX32	1	Q86XE0	
SNX30	1	Q5VWJ9	
RIDA	1	P52758	
SNX27	1	Q96L92	
AGR2	1	O95994	
STX5	1	Q13190	
STX4	1	Q12846	
RICTOR	1	Q6R327	
BID	1	P55957	
ATAD1	1	Q8NBU5	
EGLN1	1	Q9GZT9	
PKLR	1	P30613	
ATAD2	1	Q6PL18	
BBOX1	1	O75936	
KIAA2013	1	Q8IYS2	
ARCN1	1	P48444	
TARBP1	1	Q13395	
SNX18	1	Q96RF0	
MYBBP1A	1	Q9BQG0	
SNX17	1	Q15036	
APEX1	1	P27695	
CCDC6	1	Q16204	
PKN1	1	Q16512	
CIAPIN1	1	Q6FI81	
AGRN	1	O00468	
MTCH1	1	Q9NZJ7	
ALDH1L1	1	O75891	
MTCH2	1	Q9Y6C9	
PDCD6	1	O75340	
PDCD5	1	O14737	
GOLIM4	1	O00461	
MSI2	1	Q96DH6	
IL1RAP	1	Q9NPH3	
APEH	1	P13798	
FBXO22	1	Q8NEZ5	
FADS2	1	O95864	
EFEMP2	1	O95967	
EFEMP1	1	Q12805	
SLK	1	Q9H2G2	
FNTA	1	P49354	
UROD	1	P06132	
POFUT1	1	Q9H488	
FNTB	1	P49356	
TOM1	1	O60784	
PCYT2	1	Q99447	
STX8	1	Q9UNK0	
STX7	1	O15400	
UGT2B15	1	P54855	
MSH6	1	P52701	
MINPP1	1	Q9UNW1	
MSH2	1	P43246	
SMO	1	Q99835	
LGSN	1	Q5TDP6	
SMS	1	P52788	
SRSF2	1	Q01130	
PKP2	1	Q99959	
SRSF3	1	P84103	
SRSF4	1	Q08170	
PKP4	1	Q99569	
SRSF5	1	Q13243	
SRSF6	1	Q13247	
SRSF7	1	Q16629	
AJUBA	1	Q96IF1	
ARL8A	1	Q96BM9	
SRSF9	1	Q13242	
ARL8B	1	Q9NVJ2	
BLM	1	P54132	
UQCRB	1	P14927	
KMT2A	1	Q03164	
IREB2	1	P48200	
GSTT1	1	P30711	
UAP1	1	Q16222	
RAP1A	1	P62834	
AMDHD1	1	Q96NU7	
AMDHD2	1	Q9Y303	
KIAA1522	1	Q9P206	
AP4S1	1	Q9Y587	
KDSR	1	Q06136	
CERT1	1	Q9Y5P4	
NEK9	1	Q8TD19	
NOP14	1	P78316	
SDF2L1	1	Q9HCN8	
API5	1	Q9BZZ5	
FBXO38	1	Q6PIJ6	
NEK7	1	Q8TDX7	
DRAP1	1	Q14919	
SON	1	P18583	
SH3BP5L	1	Q7L8J4	
UQCRQ	1	O14949	
ADSS1	1	Q8N142	
ADSS2	1	P30520	
CLPTM1L	1	Q96KA5	
NOP10	1	Q9NPE3	
ALAS1	1	P13196	
DYSF	1	O75923	
APIP	1	Q96GX9	
PPWD1	1	Q96BP3	
ETFA	1	P13804	
ETFB	1	P38117	
NENF	1	Q9UMX5	
SPR	1	P35270	
PTER	1	Q96BW5	
BCAS2	1	O75934	
MBL2	1	P11226	
UNC45A	1	Q9H3U1	
IGHV3-74	1	A0A0B4J1X5	
RNASET2	1	O00584	
VPS13C	1	Q709C8	
DHPS	1	P49366	
RABGGTB	1	P53611	
ARFGAP3	1	Q9NP61	
RABGGTA	1	Q92696	
ARFGAP1	1	Q8N6T3	
ARFGAP2	1	Q8N6H7	
NEMF	1	O60524	
PCCA	1	P05165	
PCCB	1	P05166	
BPI	1	P17213	
ETF1	1	P62495	
TOP1	1	P11387	
AGXT	1	P21549	
BCAT1	1	P54687	
GAPDH	1	P04406	
DCTPP1	1	Q9H773	
CERS2	1	Q96G23	
TRIM56	1	Q9BRZ2	
PRKAA1	1	Q13131	
CANT1	1	Q8WVQ1	
C1S	1	P09871	
SRC	1	P12931	
SRF	1	P11831	
HM13	1	Q8TCT9	
SRSF1	1	Q07955	
LENG8	1	Q96PV6	
IGHV3-49	1	A0A0A0MS15	
SRI	1	P30626	
SRM	1	P19623	
U2AF2	1	P26368	
UBQLN1	1	Q9UMX0	
TRIM47	1	Q96LD4	
TRIM42	1	Q8IWZ5	
RILP	1	Q96NA2	
UBQLN4	1	Q9NRR5	
UBQLN2	1	Q9UHD9	
NOP56	1	O00567	
NOP58	1	Q9Y2X3	
SSB	1	P05455	
GPKOW	1	Q92917	
TXNL1	1	O43396	
GSTZ1	1	O43708	
NECAP2	1	Q9NVZ3	
UROC1	1	Q96N76	
PDCD4	1	Q53EL6	
OCIAD1	1	Q9NX40	
OCIAD2	1	Q56VL3	
ECI1	1	P42126	
ECI2	1	O75521	
CCP110	1	O43303	
MTFR1L	1	Q9H019	
ICAM1	1	P05362	
C4B	1	P0C0L5	
LGALS4	1	P56470	
C4A	1	P0C0L4	
LGALS3	1	P17931	
LGALS1	1	P09382	
TRIM28	1	Q13263	
ANPEP	1	P15144	
PEG10	1	Q86TG7	
BSG	1	P35613	
TRIM25	1	Q14258	
TRIM26	1	Q12899	
LGALS9	1	O00182	
THSD7A	1	Q9UPZ6	
LGALS8	1	O00214	
BSN	1	Q9UPA5	
TRIM21	1	P19474	
TRIM23	1	P36406	
FBXO2	1	Q9UK22	
ECH1	1	Q13011	
GOLPH3L	1	Q9H4A5	
BCS1L	1	Q9Y276	
GAREM2	1	Q75VX8	
CFDP1	1	Q9UEE9	
SUB1	1	P53999	
C6orf118	1	Q5T5N4	
KCNQ4	1	P56696	
CES2	1	O00748	
CES1	1	P23141	
AARS1	1	P49588	
TMEM63A	1	O94886	
AARS2	1	Q5JTZ9	
SDC4	1	P31431	
DHX8	1	Q14562	
DHX9	1	Q08211	
APOO	1	Q9BUR5	
NKAIN4	1	Q8IVV8	
APOM	1	O95445	
RRAS	1	P10301	
APOH	1	P02749	
NEU1	1	Q99519	
APOD	1	P05090	
APOE	1	P02649	
APOB	1	P04114	
PCK1	1	P35558	
DECR2	1	Q9NUI1	
LYAR	1	Q9NX58	
DECR1	1	Q16698	
PCK2	1	Q16822	
B4GALNT4	1	Q76KP1	
HARS1	1	P12081	
YES1	1	P07947	
SPHKAP	1	Q2M3C7	
HARS2	1	P49590	
PTK2	1	Q05397	
BST2	1	Q10589	
NET1	1	Q7Z628	
BST1	1	Q10588	
FBXL8	1	Q96CD0	
MSRA	1	Q9UJ68	
PTK7	1	Q13308	
NDUFAF7	1	Q7L592	
NDUFAF4	1	Q9P032	
CWF19L1	1	Q69YN2	
NDUFAF2	1	Q8N183	
SDC1	1	P18827	
NDUFAF3	1	Q9BU61	
GRB2	1	P62993	
LDHAL6A	1	Q6ZMR3	
MRPS17	1	Q9Y2R5	
IGHM	1	P01871	
MRPS15	1	P82914	
ECM1	1	Q16610	
MRPS16	1	Q9Y3D3	
HIBADH	1	P31937	
MRPS14	1	O60783	
MRPS10	1	P82664	
GRIK2	1	Q13002	
C8B	1	P07358	
TFB1M	1	Q8WVM0	
C8A	1	P07357	
COX7C	1	P15954	
PTMS	1	P20962	
KHK	1	P50053	
MT-ATP6	1	P00846	
SYNCRIP	1	O60506	
PPP3CA	1	Q08209	
ACTR1A	1	P61163	
C8G	1	P07360	
ACTR1B	1	P42025	
CNTRL	1	Q7Z7A1	
RAC2	1	P15153	
BBS9	1	Q3SYG4	
