NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	1539	0.10811035335063934	-0.33428958	No	
row_1	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	2652	-0.07024316489696503	-0.576603	No	
row_2	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	3103	-0.14502443373203278	-0.6632044	No	
row_3	RBM47	RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]	3172	-0.15800178050994873	-0.6629188	No	
row_4	SFT2D2	SFT2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25140]	3256	-0.1722089648246765	-0.6645989	No	
row_5	ITGAX	integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152]	3287	-0.17683568596839905	-0.6539463	No	
row_6	BIN2	bridging integrator 2 [Source:HGNC Symbol;Acc:HGNC:1053]	3916	-0.3205949068069458	-0.7631884	Yes	
row_7	NCKAP1L	NCK associated protein 1 like [Source:HGNC Symbol;Acc:HGNC:4862]	4066	-0.3766365349292755	-0.7595728	Yes	
row_8	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	4191	-0.4297902584075928	-0.74513143	Yes	
row_9	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:17379]	4205	-0.4366006851196289	-0.70514417	Yes	
row_10	FKBP15	FKBP prolyl isomerase 15 [Source:HGNC Symbol;Acc:HGNC:23397]	4276	-0.4822789132595062	-0.67344296	Yes	
row_11	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	4321	-0.5210688710212708	-0.6321033	Yes	
row_12	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	4333	-0.5355732440948486	-0.5819426	Yes	
row_13	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	4347	-0.5522347688674927	-0.530593	Yes	
row_14	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	4391	-0.6119424700737	-0.4800999	Yes	
row_15	PYCARD	PYD and CARD domain containing [Source:HGNC Symbol;Acc:HGNC:16608]	4399	-0.6250584721565247	-0.42024985	Yes	
row_16	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	4426	-0.6797338128089905	-0.35928553	Yes	
row_17	NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	4430	-0.6919474601745605	-0.29196647	Yes	
row_18	PPP1R18	protein phosphatase 1 regulatory subunit 18 [Source:HGNC Symbol;Acc:HGNC:29413]	4434	-0.7080118060112	-0.22306888	Yes	
row_19	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	4454	-0.7734814882278442	-0.15132403	Yes	
row_20	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	4455	-0.7772971391677856	-0.07494607	Yes	
row_21	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	4465	-0.8243070840835571	0.0040341066	Yes	
