NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BIOCARTA_FEEDER_PATHWAY	9		Rejected!	
BIOCARTA_PROTEASOME_PATHWAY	19	18		
BIOCARTA_KREB_PATHWAY	8		Rejected!	
ST_INTERFERON_GAMMA_PATHWAY	10		Rejected!	
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	20		Rejected!	
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	47		Rejected!	
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	29		Rejected!	
ST_ERK1_ERK2_MAPK_PATHWAY	32		Rejected!	
ST_GA12_PATHWAY	23		Rejected!	
ST_G_ALPHA_S_PATHWAY	16		Rejected!	
ST_G_ALPHA_I_PATHWAY	36		Rejected!	
ST_IL_13_PATHWAY	7		Rejected!	
ST_P38_MAPK_PATHWAY	37		Rejected!	
ST_JAK_STAT_PATHWAY	9		Rejected!	
ST_GRANULE_CELL_SURVIVAL_PATHWAY	28		Rejected!	
ST_ADRENERGIC	37	15		
ST_INTEGRIN_SIGNALING_PATHWAY	82	40		
ST_GAQ_PATHWAY	28		Rejected!	
ST_GA13_PATHWAY	37	17		
ST_STAT3_PATHWAY	11		Rejected!	
ST_T_CELL_SIGNAL_TRANSDUCTION	45		Rejected!	
ST_TYPE_I_INTERFERON_PATHWAY	9		Rejected!	
ST_PAC1_RECEPTOR_PATHWAY	8		Rejected!	
ST_B_CELL_ANTIGEN_RECEPTOR	40		Rejected!	
ST_INTERLEUKIN_4_PATHWAY	26		Rejected!	
ST_WNT_BETA_CATENIN_PATHWAY	34		Rejected!	
ST_JNK_MAPK_PATHWAY	40		Rejected!	
ST_FAS_SIGNALING_PATHWAY	66	24		
ST_MYOCYTE_AD_PATHWAY	28		Rejected!	
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	38	18		
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	11		Rejected!	
BIOCARTA_RELA_PATHWAY	15		Rejected!	
BIOCARTA_NO1_PATHWAY	28		Rejected!	
BIOCARTA_CSK_PATHWAY	22		Rejected!	
BIOCARTA_SRCRPTP_PATHWAY	11		Rejected!	
BIOCARTA_AMI_PATHWAY	20		Rejected!	
BIOCARTA_GRANULOCYTES_PATHWAY	15		Rejected!	
BIOCARTA_LYM_PATHWAY	14		Rejected!	
BIOCARTA_ARAP_PATHWAY	17		Rejected!	
BIOCARTA_AGR_PATHWAY	33	15		
BIOCARTA_AKAP95_PATHWAY	11		Rejected!	
BIOCARTA_AKT_PATHWAY	22		Rejected!	
BIOCARTA_ALK_PATHWAY	37		Rejected!	
BIOCARTA_AT1R_PATHWAY	27		Rejected!	
BIOCARTA_ACE2_PATHWAY	13		Rejected!	
BIOCARTA_ASBCELL_PATHWAY	15		Rejected!	
BIOCARTA_DNAFRAGMENT_PATHWAY	10		Rejected!	
BIOCARTA_CHEMICAL_PATHWAY	18		Rejected!	
BIOCARTA_SPPA_PATHWAY	16		Rejected!	
BIOCARTA_ATM_PATHWAY	20		Rejected!	
BIOCARTA_AGPCR_PATHWAY	11		Rejected!	
BIOCARTA_BCELLSURVIVAL_PATHWAY	15		Rejected!	
BIOCARTA_BLYMPHOCYTE_PATHWAY	14		Rejected!	
BIOCARTA_BCR_PATHWAY	33		Rejected!	
BIOCARTA_BIOPEPTIDES_PATHWAY	29	17		
BIOCARTA_RANKL_PATHWAY	14		Rejected!	
BIOCARTA_CACAM_PATHWAY	9		Rejected!	
BIOCARTA_CDMAC_PATHWAY	16		Rejected!	
BIOCARTA_CARM_ER_PATHWAY	26		Rejected!	
