NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NABA_MATRISOME_ASSOCIATED	NABA_MATRISOME_ASSOCIATED	Details ...	109	-0.59449786	-2.0301664	0.0	0.14758	0.053	738	tags=50%, list=16%, signal=58%	
REACTOME_SEMAPHORIN_INTERACTIONS	REACTOME_SEMAPHORIN_INTERACTIONS	Details ...	31	-0.6402932	-1.9466047	0.0042918455	0.34074152	0.179	1146	tags=65%, list=26%, signal=86%	
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Details ...	34	-0.6376134	-1.9379789	0.0	0.25878832	0.201	741	tags=53%, list=17%, signal=63%	
WP_TYROBP_CAUSAL_NETWORK	WP_TYROBP_CAUSAL_NETWORK	Details ...	22	-0.7965815	-1.9141024	0.0065934067	0.27945104	0.248	419	tags=68%, list=9%, signal=75%	
REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	Details ...	40	-0.58218986	-1.8986523	0.0	0.27316412	0.285	876	tags=43%, list=20%, signal=52%	
NABA_ECM_AFFILIATED	NABA_ECM_AFFILIATED	Details ...	32	-0.5449533	-1.89616	0.0023201855	0.23324527	0.29	387	tags=38%, list=9%, signal=41%	
NABA_SECRETED_FACTORS	NABA_SECRETED_FACTORS	Details ...	17	-0.8004033	-1.8864046	0.004454343	0.22649848	0.311	811	tags=82%, list=18%, signal=100%	
WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA	WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA	Details ...	16	-0.7189866	-1.8863983	0.010526316	0.19818616	0.311	439	tags=69%, list=10%, signal=76%	
WP_IL4_SIGNALING_PATHWAY	WP_IL4_SIGNALING_PATHWAY	Details ...	17	-0.7142625	-1.880489	0.0021141649	0.18767868	0.327	451	tags=41%, list=10%, signal=46%	
NABA_MATRISOME	NABA_MATRISOME	Details ...	188	-0.57864726	-1.8678288	0.016393442	0.1993844	0.373	839	tags=51%, list=19%, signal=60%	
NABA_ECM_REGULATORS	NABA_ECM_REGULATORS	Details ...	60	-0.58753365	-1.8667452	0.0067114094	0.18509033	0.377	506	tags=43%, list=11%, signal=48%	
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS	REACTOME_RHO_GTPASES_ACTIVATE_ROCKS	Details ...	15	-0.7224746	-1.8622607	0.0021367522	0.17695154	0.393	1155	tags=73%, list=26%, signal=98%	
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	Details ...	24	-0.71025467	-1.8598188	0.004484305	0.16818316	0.4	394	tags=46%, list=9%, signal=50%	
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	Details ...	15	-0.7636026	-1.8545457	0.0021008404	0.16369514	0.414	144	tags=40%, list=3%, signal=41%	
PID_FCER1_PATHWAY	PID_FCER1_PATHWAY	Details ...	23	-0.6674043	-1.8528913	0.0043010754	0.15525419	0.419	607	tags=43%, list=14%, signal=50%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Details ...	28	-0.7140644	-1.8525037	0.01048218	0.14589097	0.419	1065	tags=79%, list=24%, signal=102%	
PID_RHOA_PATHWAY	PID_RHOA_PATHWAY	Details ...	17	-0.66591626	-1.8489028	0.0022522523	0.1428584	0.426	582	tags=47%, list=13%, signal=54%	
REACTOME_SIGNALING_BY_RHO_GTPASES	REACTOME_SIGNALING_BY_RHO_GTPASES	Details ...	170	-0.5098881	-1.8437426	0.0	0.1440577	0.439	844	tags=42%, list=19%, signal=49%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	Details ...	29	-0.6945703	-1.842794	0.010683761	0.1383727	0.444	1234	tags=76%, list=28%, signal=104%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	Details ...	49	-0.55553895	-1.8274256	0.0	0.15755402	0.49	458	tags=35%, list=10%, signal=38%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL		62	-0.5669014	-1.8266772	0.0	0.15115634	0.49	645	tags=48%, list=14%, signal=56%	
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION		36	-0.630079	-1.820137	0.017817372	0.15549842	0.507	651	tags=58%, list=15%, signal=68%	
REACTOME_SIGNALING_BY_PDGF	REACTOME_SIGNALING_BY_PDGF		24	-0.67620665	-1.8136904	0.022421524	0.16059795	0.527	799	tags=58%, list=18%, signal=71%	
REACTOME_RHO_GTPASE_EFFECTORS	REACTOME_RHO_GTPASE_EFFECTORS		135	-0.51425785	-1.8094803	0.0043290043	0.1598075	0.539	827	tags=41%, list=18%, signal=49%	
REACTOME_EPH_EPHRIN_SIGNALING	REACTOME_EPH_EPHRIN_SIGNALING		48	-0.5939476	-1.806128	0.0	0.15918535	0.551	638	tags=42%, list=14%, signal=48%	
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION		122	-0.5196266	-1.8054235	0.006741573	0.15403838	0.551	656	tags=38%, list=15%, signal=43%	
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	REACTOME_TOLL_LIKE_RECEPTOR_CASCADES		53	-0.5375149	-1.7973499	0.0022123894	0.1588417	0.564	876	tags=40%, list=20%, signal=49%	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON		96	-0.5332967	-1.79312	0.0023041475	0.16202365	0.574	827	tags=48%, list=18%, signal=57%	
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_		77	-0.54569316	-1.7916703	0.011013215	0.15820807	0.578	740	tags=42%, list=17%, signal=49%	
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE_	REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE_		30	-0.58342797	-1.7864466	0.0043196543	0.1622258	0.596	876	tags=43%, list=20%, signal=53%	
PID_KIT_PATHWAY	PID_KIT_PATHWAY		16	-0.6521921	-1.7858955	0.0045871558	0.15751697	0.598	718	tags=44%, list=16%, signal=52%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL		28	-0.65491587	-1.7845889	0.0022883294	0.15445504	0.603	907	tags=64%, list=20%, signal=80%	
WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3	WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3		21	-0.60793936	-1.78171	0.004514673	0.15380226	0.605	554	tags=33%, list=12%, signal=38%	
WP_ENVELOPE_PROTEINS_AND_THEIR_POTENTIAL_ROLES_IN_EDMD_PHYSIOPATHOLOGY	WP_ENVELOPE_PROTEINS_AND_THEIR_POTENTIAL_ROLES_IN_EDMD_PHYSIOPATHOLOGY		21	-0.6314965	-1.7815077	0.0042643924	0.14955951	0.606	600	tags=38%, list=13%, signal=44%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION		297	-0.4586909	-1.7774392	0.008948546	0.15050216	0.617	679	tags=34%, list=15%, signal=37%	
WP_PDGFRBETA_PATHWAY	WP_PDGFRBETA_PATHWAY		15	-0.6216483	-1.7729988	0.0022883294	0.15239024	0.626	799	tags=47%, list=18%, signal=57%	
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING	REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING		25	-0.6371499	-1.7628548	0.011185682	0.16313355	0.652	607	tags=48%, list=14%, signal=55%	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS		44	-0.62709135	-1.761735	0.039647575	0.1604517	0.657	651	tags=52%, list=15%, signal=61%	
REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING		91	-0.5375172	-1.7615192	0.01735358	0.15677033	0.659	1065	tags=52%, list=24%, signal=66%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES		28	-0.6582173	-1.759713	0.033407573	0.1559116	0.664	651	tags=64%, list=15%, signal=75%	
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	REACTOME_RHO_GTPASES_ACTIVATE_PKNS		22	-0.6799756	-1.7544559	0.006289308	0.16022617	0.679	1292	tags=86%, list=29%, signal=121%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION		123	-0.5619515	-1.7540071	0.02293578	0.15692483	0.679	839	tags=50%, list=19%, signal=60%	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION		21	-0.6473783	-1.7529917	0.021978023	0.15451905	0.681	942	tags=62%, list=21%, signal=78%	
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	REACTOME_MET_ACTIVATES_PTK2_SIGNALING		16	-0.71965456	-1.7516925	0.015486726	0.15311944	0.687	839	tags=75%, list=19%, signal=92%	
PID_PDGFRB_PATHWAY	PID_PDGFRB_PATHWAY		75	-0.5219427	-1.7515378	0.008830022	0.14992249	0.687	833	tags=43%, list=19%, signal=52%	
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION		89	-0.5577825	-1.7494711	0.022883296	0.14929765	0.691	839	tags=48%, list=19%, signal=58%	
PID_RAC1_PATHWAY	PID_RAC1_PATHWAY		29	-0.6180138	-1.7494575	0.0	0.14621408	0.691	184	tags=38%, list=4%, signal=39%	
PID_ILK_PATHWAY	PID_ILK_PATHWAY		30	-0.6139993	-1.746294	0.015659954	0.14741191	0.698	1076	tags=63%, list=24%, signal=83%	
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS		42	-0.5689548	-1.7449038	0.0066225166	0.14592515	0.7	607	tags=45%, list=14%, signal=52%	
PID_UPA_UPAR_PATHWAY	PID_UPA_UPAR_PATHWAY		25	-0.6434421	-1.7446827	0.024282562	0.14334293	0.701	412	tags=44%, list=9%, signal=48%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION		49	-0.583486	-1.7331079	0.015659954	0.15571888	0.725	619	tags=47%, list=14%, signal=54%	
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	REACTOME_RHO_GTPASES_ACTIVATE_PAKS		15	-0.69707805	-1.7316773	0.010570824	0.15498611	0.731	1285	tags=87%, list=29%, signal=121%	
PID_TCPTP_PATHWAY	PID_TCPTP_PATHWAY		18	-0.6118843	-1.7270736	0.0022883294	0.15934756	0.753	799	tags=56%, list=18%, signal=67%	
PID_FAK_PATHWAY	PID_FAK_PATHWAY		31	-0.5674081	-1.7247341	0.004608295	0.1600417	0.758	1083	tags=55%, list=24%, signal=72%	
