"","C_b10_2","C_b11_2","C_b12_11","C_b14_3","C_b17_10","C_b17_4","C_b18_7","C_b19_12","C_b21_6","C_b22_6","C_b22_8","C_b23_8","C_b24_3","C_b5_13","C_b6_6","C_b7_6","C_b8_4","H_b10_3","H_b10_4","H_b11_3","H_b11_4","H_b12_12","H_b12_13","H_b14_4","H_b14_5","H_b17_11","H_b17_12","H_b17_5","H_b17_6","H_b18_8","H_b18_9","H_b19_13","H_b19_14","H_b21_7","H_b21_9","H_b22_10","H_b22_11","H_b22_7","H_b22_9","H_b23_10","H_b23_9","H_b24_4","H_b24_5","H_b5_14","H_b5_15","H_b6_7","H_b6_8","H_b7_7","H_b7_8","H_b8_5","H_b8_6","fd","P_value","P_value_adjust"
"A1L0T0",0,614.349,0,0,0,551.844,0,439.19,0,2102.03,1531.02,0,0,1662.74,1295.85,0,434.892,0,0,0,0,0,1181.5,464.582,4183.18,1634.52,1019.67,0,0,2754.54,1084.71,0,674.611,3738.04,4392.7,3570.68,1034.36,6836.87,2399.7,2478.85,3058.62,2131.545,1904.35,2218.72,651.711,0,3402.28,934.281,0,0,1637.58,1.62875213163933,0.00250766157840346,0.0231171879110311
"A5D8V7",0,0,0,0,0,0,0,0,0,4365.38,2553.32,0,0,0,1220.87,0,320.755,0,0,0,7406.96,4185.07,1997.55,0,0,276.985,2310.73,1982.07,5149.73,0,1259.28,2404.5,868.587,11613.9,0,4081.66,3815.2,0,2632.37,6165.28,3679.92,1577.27,7978.81,0,0,1634.06,0,3966.5,0,4985.04,0,2.24070045312233,0.00199400579258209,0.019549799636885
"A6NCS6",1726.45,0,0,0,0,0,0,0,0,615.77,1658.71,762.231,0,0,0,0,664.066,0,0,241.383,1045.55,831.022,1996.46,1058.519,2294.71,701.212,686.996,0,0,0,0,720.992,693.345,3357.74,4673.14,432.827,2059.2,7345.67,4885.84,1469.7,4984.95,2193.775,886.051,2987.25,867.8,0,407.474,2555.91,0,0,1641.27,2.23274141276316,0.00103479178910967,0.0121031222536
"O00168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748.5615,0,0,0,0,497.78,1734.68,479.421,431.686,753.562,0,0,0,1343.56,746.426,0,2089.49,171.341,788.48,670.811,4281.25,2316.58,706.061,0,4011.99,2957.855,0,2330,0,0,0,2579.63,0,0,0,4.27033565620575,0.000562698226255941,0.00788470068421402
"O00244",1461.31,0,0,0,0,0,0,671.8,2565.67,5212.86,4919.62,2300.83,5618.72,0,3235.69,2745.4,0,2989.68,1087.51,674.537,0,3731.97,1968.7,859.697,13763,1745.87,1836.27,3118.09,422.345,593.382,2214.98,1581.93,2895.3,1887.68,4652.58,4528.17,5894.99,2568.47,5582.69,14744.4,5797.13,7198.14,3934.2,6534.28,0,1870.12,3403.16,12270.6,961.329,9025.22,8094.71,1.26844310410382,0.00556649792056392,0.0403017989352116
"O00264",8931.265,8941.325,6970.61,6573.98,2315.42,2736.63,3339.4,3042.94,2991.12,18964,9347.31,19822.4,7727.78,10284,3094.32,1596.02,10572.465,3816.99,2502.79,8114.09,1727.99,35987.8,57888.2,5748.73,17651.3,15025.7,3986.81,85252.3,14616.4,24558.8,33833.4,1346.99,45725,6102.28,24707.7,57030.5,22447.5,13736.6,15439.3,25163.7,54252.8,116258,59050.7,33348.9,4714.99,8399.57,8893.17,62719.5,24323.8,27303.6,18399.7,1.88509995795966,0.000120625997960332,0.00271945937975917
"O00748",424.63,0,0,2277.03,0,0,922.373,0,760.561,0,9871.29,4172.68,0,0,0,0,4053.17,0,0,4951.24,0,14655.2,16009.1,1483.555,7841.95,10940.2,0,42738.4,6067.79,4347.4,20954.8,1331.45,3923.2,11496.8,3115.73,13677.2,27225.1,1145.16,9262.46,12689.6,93749.5,25419.7,73484.9,14514.1,4329.73,4223.3,0,61192.9,2925.13,36003.6,25473.2,3.62611061515498,0.000403460785779707,0.00622119918254684
"O00757",0,1772.31,1210.98,0,0,0,0,0,1650.39,1818.96,1593.32,2702.62,3532.15,0,0,0,0,0,0,0,0,15829.2,34305.2,1483.51,17488.4,0,0,0,3549.21,6675.01,32297.7,0,20615.3,7353.71,0,0,11159.3,2456.58,0,3272.31,12303.8,48958.2,16921.5,67741.7,8627.27,1036.73,3329.14,0,6949.43,2364.2,12171.5,3.56013126072465,0.0016826223105336,0.0175346956571396
"O00763",0,0,0,0,0,0,0,293.615,0,0,838.387,0,0,0,0,0,0,0,0,0,0,1374.2,1401.3,769.872,0,0,0,0,4831.64,3322.36,1659.75,0,1301.21,0,0,2970.9,1032.49,1702.08,0,0,1798.58,6161.695,1382.48,0,8880.34,0,0,2594.75,0,0,0,4.18512318064959,0.0024725429259495,0.0228860985462886
"O00767",1056.38,1517.69,1302.06,824.047,0,1949.705,0,0,0,0,0,3575.74,0,0,0,0,0,0,1649.17,4830.18,0,1835.62,0,1392.53,1310.53,22699.3,980.71,0,0,2360.31,0,4687.49,3070.21,3145.11,3083.11,15625.7,5271.43,12526.1,4879.03,4471.15,0,0,0,7026.35,2627.41,2936.3,2538.46,0,7316.66,0,5510.3,2.5739356775122,0.00161113109134749,0.0171427359579356
"O14525",898.162,0,0,0,0,0,0,0,0,0,0,353.898,0,0,0,0,0,0,0,0,0,1148.05,1931.59,0,266.559,1984.35,0,1779.7,2234.97,152.972,2421.32,0,0,0,1877.43,3259.35,5999.37,1325.05,0,1197.76,2914.24,2865.36,7605.4,2689.49,0,0,0,0,664.742,1472.54,0,4.12823385112268,0.00039599075307301,0.00613381595066152
