"","C_T_13","C_T_14","C_T_15","C_T_31","C_T_32","C_T_40","C_T_44","C_T_49","C_T_52","C_T_55","C_T_58","C_T_6","H_T_1","H_T_10","H_T_11","H_T_12","H_T_16","H_T_17","H_T_18","H_T_19","H_T_2","H_T_20","H_T_22","H_T_23","H_T_24","H_T_25","H_T_26","H_T_27","H_T_28","H_T_29","H_T_3","H_T_30","H_T_33","H_T_35","H_T_36","H_T_37","H_T_38","H_T_39","H_T_4","H_T_41","H_T_42","H_T_43","H_T_45","H_T_46","H_T_47","H_T_48","H_T_50","H_T_51","H_T_54","H_T_56","H_T_57","H_T_7","H_T_8","fd","P_value","P_value_adjust"
"A0JNW5|UH1BL_HUMAN",0,0,0,0,0,29466.6,0,0,0,0,1634.1,0,0,0,22350.9,0,0,33600.3,102377.25,0,161806,0,0,0,0,290285,259818,0,0,18627,30936.1,0,0,0,30441.5,0,103241,0,0,136113,9651.64,79164.2,447205,0,22883.7,25199.1,0,0,92977.9,303858,246738,0,0,4.5077004019967,0.00161790882862425,0.0133375883161141
"A0MZ66|SHOT1_HUMAN",518776,1054090,388085,92403.45,184517,2516530,298687,84908.2,629386,626618,433243,752746,2372530,875639,636885,141817,232420,1558915,2843370,147021,3168020,428502,725816,434940,460302.5,890861,1340846.5,1977000,537714,1417980,542552.5,413227,6579950,3156810,2948300,848654,1196040,6016040,703269,890233,184495,923816,3604470,334774,927260,1045170,340719.5,3477330,1995980,6391760,3938920,815424,3231640,1.4488001365842,0.00167990563466212,0.0136183216163179
"A1L0T0|HACL2_HUMAN",293427,364138,1114180,147118,292419,0,513469,102337.9,95594.9,367322,218246,425757,570046,2058990,441470,564407,174499.5,635043.5,1872870,565155,449054,442737,2460350,532320,0,815797,859835,1893890,971225,2323770,977181.5,722993,1852750,1927930,2441690,2981180,744159,808647,867549,189263,89533.6,1780230,1060990,946456,1740350,1400480,1874015,6728200,1669830,388825,820261,865989,230369,1.91647131133477,3.1564571011675e-05,0.00100303456100961
"A2RRP1|NBAS_HUMAN",50410.4,57132.4,116223,0,0,235645,0,106157,168477,124303,243126.5,0,124909,94910.6,110065,63846.2,12349.995,418039.5,666316.5,16361.2,166189,49233,127897,104809,46130.7,243956,178462.75,50411.3,23123.5,256761,309340.5,54105.3,683662,217711,0,168678,185221,146639,92094,443754,169703,361088,565956,278233.5,582582,380885,409927.5,221222,232051,465261,373559,0,105269,1.28972033491739,0.00154097720296087,0.0128628513209438
"A2VDF0|FUCM_HUMAN",0,0,0,0,0,0,0,0,59628.5,317982,0,0,0,894828,0,0,757256,215608,275024,133306,81679.4,0,84509.8,93392.3,0,0,0,426402,8271.8,0,37991.7,0,1473780,1569940,0,3745860,0,2256300,0,0,0,1043350,192116,0,3014430,29406.9,26466.9,3649690,343264,1219550,72125.3,95606.4,0,4.07472999757371,0.00273022996390557,0.0191533837577157
"A3KMH1|VWA8_HUMAN",874977,185476,746678,12764.2,0,765755,546773,321069.5,518470,506438,398693.5,972196,1344980,893743,0,274570,81055.35,1942515,1076001,303231,636810,0,790620,2067980,62713.7,1663440,1323319.5,1016460,1037630,1209070,528137.5,1662040,1055080,1722400,1311260,3358840,918805,3179590,250024,181139,473341,3755480,2480580,447350.5,4729960,1297140,2165555,4297350,964771,3605620,1376650,445351,1121370,1.5133537919153,7.40124655911646e-05,0.00166696847940241
"A4D1P6|WDR91_HUMAN",143751,96925.5,218217,54208.25,19222.4,336404,0,167132.45,462099,428849,248379.5,146104,162744,112707,479120,0,115217.5,225269.5,550219,88370.6,73271.2,34807.7,247187,450652,401575,484232,852781,433421,184707,733494,538606.5,445482,988531,906286,227551,749865,772380,2035040,389377,678498,514013,911577,454409,413863.1,1040660,1388020,1151305,1333880,779996,1120030,1799190,120189,534785,1.65190614479135,1.2808001658228e-05,0.000632419712647426
"A6NCS6|CB072_HUMAN",0,0,270161,0,0,0,0,0,0,0,55926.5,0,8032.16,0,0,217093,0,194055,297839.5,111772,0,100326,989572,430405,0,495524,653739,0,195364,645553,135676.15,12210.1,691121,198340,209985,418614,184513,146769,105070,0,0,540917,218527,0,554994,1450100,455071,1286930,769927,213327,93071.9,170036,114002,3.46565966722006,2.85865396336439e-05,0.000955713530772708
"A6ND91|ASPD_HUMAN",0,0,1237370,0,0,0,0,0,95439.5,363083,82412.1,0,0,1166430,0,0,531150,221448,0,758074,0,0,2944090,246878,57814.75,0,3529060,0,131213,212035,50947.5,0,1003710,2706270,3433000,5836940,893058,3262480,0,7585440,90784.7,2312380,4381400,119253,1771390,3149050,2936045,4321630,232998,998179,139754,941322,0,3.2033409864387,0.000246264059270466,0.00355228987967893
"A6NDG6|PGP_HUMAN",68275.8,0,0,0,0,416880,0,142157.5,213558,284621,527358,0,0,0,0,62033.2,323827.45,104387,796211,0,0,6740.94,1731760,0,445227.5,1116890,557475,472617,0,14825.4,1146280,621511,1327220,543292,2410760,165882,807616,1151180,515090,214881,171917,251288,219293,723021.5,1098960,379302,411190.5,365662,375360,1106560,2084480,55203.8,126072,1.95557795115008,0.00049971836560571,0.00587489411872354
