NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	1512	0.3569221496582031	-0.15097843	No	
row_1	PKP4	plakophilin 4 [Source:HGNC Symbol;Acc:HGNC:9026]	2055	0.2841658592224121	-0.16722415	No	
row_2	CAPNS1	calpain small subunit 1 [Source:HGNC Symbol;Acc:HGNC:1481]	3507	0.11355818808078766	-0.36762238	No	
row_3	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]	3693	0.09373657405376434	-0.3739572	No	
row_4	CAPN1	calpain 1 [Source:HGNC Symbol;Acc:HGNC:1476]	4615	-0.011923474259674549	-0.5157413	No	
row_5	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	4939	-0.049966707825660706	-0.55436546	No	
row_6	KRT1	keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]	5249	-0.09576589614152908	-0.5796868	No	
row_7	DSG1	desmoglein 1 [Source:HGNC Symbol;Acc:HGNC:3048]	5611	-0.1578671634197235	-0.5981205	Yes	
row_8	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	5749	-0.18783164024353027	-0.5741026	Yes	
row_9	PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	5920	-0.2351897656917572	-0.54378676	Yes	
row_10	DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	5994	-0.25177597999572754	-0.49421257	Yes	
row_11	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	6089	-0.28681135177612305	-0.43944305	Yes	
row_12	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	6123	-0.29992470145225525	-0.37191215	Yes	
row_13	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	6223	-0.3511660099029541	-0.3023257	Yes	
row_14	DSG2	desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]	6304	-0.43129995465278625	-0.21032673	Yes	
row_15	PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	6318	-0.4543662965297699	-0.10221081	Yes	
row_16	KRT2	keratin 2 [Source:HGNC Symbol;Acc:HGNC:6439]	6325	-0.46240556240081787	0.008953753	Yes	
