NAME	TITLE	SCORE	
GATM	glycine amidinotransferase [Source:HGNC Symbol;Acc:HGNC:4175]	1.0570561	
APOC2	apolipoprotein C2 [Source:HGNC Symbol;Acc:HGNC:609]	0.99147165	
A1CF	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]	0.96483153	
ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	0.9206144	
HSDL2	hydroxysteroid dehydrogenase like 2 [Source:HGNC Symbol;Acc:HGNC:18572]	0.90938497	
HNF4A	hepatocyte nuclear factor 4 alpha [Source:HGNC Symbol;Acc:HGNC:5024]	0.9068063	
TBC1D24	TBC1 domain family member 24 [Source:HGNC Symbol;Acc:HGNC:29203]	0.9019519	
MPST	mercaptopyruvate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:7223]	0.88124317	
PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	0.87727755	
POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	0.8726846	
PDZK1	PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821]	0.86775184	
GAMT	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	0.8612723	
DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	0.85696757	
SHROOM1	shroom family member 1 [Source:HGNC Symbol;Acc:HGNC:24084]	0.8548474	
AADAC	arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]	0.84646225	
ACOT1	acyl-CoA thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:33128]	0.841282	
CFL2	cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]	0.83896327	
HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]	0.83385265	
ARHGAP35	Rho GTPase activating protein 35 [Source:HGNC Symbol;Acc:HGNC:4591]	0.82982165	
ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]	0.8257442	
FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	0.82142127	
APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	0.81553733	
XYLB	xylulokinase [Source:HGNC Symbol;Acc:HGNC:12839]	0.8150758	
CLPB	caseinolytic mitochondrial matrix peptidase chaperone subunit B [Source:HGNC Symbol;Acc:HGNC:30664]	0.813239	
TIMM13	translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]	0.81028396	
SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase [Source:HGNC Symbol;Acc:HGNC:30605]	0.8101568	
APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	0.8070668	
ETFRF1	electron transfer flavoprotein regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:27052]	0.8053414	
SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	0.80352247	
PRDX6	peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]	0.80223817	
ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	0.79911244	
CLPTM1	CLPTM1 regulator of GABA type A receptor forward trafficking [Source:HGNC Symbol;Acc:HGNC:2087]	0.79899466	
SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	0.79716665	
DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	0.7937427	
ABCB8	ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]	0.79340255	
MLXIPL	MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]	0.791864	
PMPCB	peptidase, mitochondrial processing subunit beta [Source:HGNC Symbol;Acc:HGNC:9119]	0.79178816	
HDHD5	haloacid dehalogenase like hydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:1843]	0.78922695	
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	0.78915423	
AGMAT	agmatinase [Source:HGNC Symbol;Acc:HGNC:18407]	0.7856649	
SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	0.78228045	
PALMD	palmdelphin [Source:HGNC Symbol;Acc:HGNC:15846]	0.780427	
