NAME	TITLE	SCORE	
CYP2D6	cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625]	1.1439475	
GALK1	galactokinase 1 [Source:HGNC Symbol;Acc:HGNC:4118]	1.0791752	
HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]	1.0579749	
MAT1A	methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]	1.0542554	
FMO5	flavin containing dimethylaniline monoxygenase 5 [Source:HGNC Symbol;Acc:HGNC:3773]	1.0510635	
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	1.0357893	
XYLB	xylulokinase [Source:HGNC Symbol;Acc:HGNC:12839]	0.9918186	
PCBD1	pterin-4 alpha-carbinolamine dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:8646]	0.9860753	
PBLD	phenazine biosynthesis like protein domain containing [Source:HGNC Symbol;Acc:HGNC:23301]	0.98206544	
ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	0.98017156	
CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	0.9683261	
PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	0.9460113	
SARDH	sarcosine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:10536]	0.9323781	
GLUD1	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	0.9236882	
RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	0.90331435	
MTTP	microsomal triglyceride transfer protein [Source:HGNC Symbol;Acc:HGNC:7467]	0.9014717	
ACADSB	acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]	0.8963216	
QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	0.8949624	
ADH6	alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]	0.8918925	
DDT	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]	0.8875276	
IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	0.88678354	
PIPOX	pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804]	0.8854731	
