NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	33	0.7937427163124084	0.016883183	Yes	
row_1	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	57	0.7560883164405823	0.034306172	Yes	
row_2	SEC24A	SEC24 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10703]	63	0.7488740086555481	0.05438926	Yes	
row_3	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	103	0.7020055055618286	0.06776115	Yes	
row_4	BAAT	bile acid-CoA:amino acid N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:932]	141	0.6745400428771973	0.08068526	Yes	
row_5	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	159	0.6650552749633789	0.096524075	Yes	
row_6	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	162	0.6633878350257874	0.114700764	Yes	
row_7	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:24865]	173	0.658915638923645	0.13148111	Yes	
row_8	SAR1B	secretion associated Ras related GTPase 1B [Source:HGNC Symbol;Acc:HGNC:10535]	186	0.6536380052566528	0.14779642	Yes	
row_9	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	294	0.6109470129013062	0.1478206	Yes	
row_10	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	301	0.6092742085456848	0.16385283	Yes	
row_11	ACACB	acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]	308	0.6073489189147949	0.17983137	Yes	
row_12	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]	325	0.6007149815559387	0.19403541	Yes	
row_13	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	339	0.594566285610199	0.2085449	Yes	
row_14	AKR1C2	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	363	0.5883475542068481	0.22129142	Yes	
row_15	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	381	0.5815349221229553	0.23480178	Yes	
row_16	AKR1C1	aldo-keto reductase family 1 member C1 [Source:HGNC Symbol;Acc:HGNC:384]	414	0.5722758769989014	0.24566965	Yes	
row_17	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	425	0.568391740322113	0.2599263	Yes	
row_18	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]	430	0.5667145252227783	0.2750899	Yes	
row_19	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	471	0.5531665086746216	0.28415334	Yes	
row_20	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	532	0.5351137518882751	0.28953436	Yes	
row_21	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	560	0.5270687341690063	0.29993668	Yes	
