NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCB8	ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]	34	0.7934025526046753	0.023768574	Yes	
row_1	PEX19	peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]	49	0.7693115472793579	0.049821872	Yes	
row_2	ABCC2	ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]	71	0.7373244166374207	0.07359011	Yes	
row_3	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	171	0.6602581143379211	0.08216286	Yes	
row_4	OS9	OS9 endoplasmic reticulum lectin [Source:HGNC Symbol;Acc:HGNC:16994]	376	0.5839239954948425	0.071287416	Yes	
row_5	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]	490	0.5488383769989014	0.07354642	Yes	
row_6	ABCC6	ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57]	492	0.5482988357543945	0.093538	Yes	
row_7	PSMC2	proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]	497	0.5470684766769409	0.11300886	Yes	
row_8	PSMA6	proteasome 20S subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535]	558	0.527972400188446	0.12290172	Yes	
row_9	PSMA7	proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]	715	0.4935697317123413	0.11631393	Yes	
row_10	SEL1L	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:10717]	718	0.49352848529815674	0.13413419	Yes	
row_11	PSMB3	proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]	749	0.4875580966472626	0.14729694	Yes	
row_12	ABCA6	ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]	756	0.48602020740509033	0.16420725	Yes	
row_13	PEX3	peroxisomal biogenesis factor 3 [Source:HGNC Symbol;Acc:HGNC:8858]	776	0.48121878504753113	0.17888056	Yes	
row_14	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	784	0.48018306493759155	0.19541785	Yes	
row_15	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	799	0.47777125239372253	0.21075699	Yes	
row_16	PSMA5	proteasome 20S subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:9534]	833	0.47060102224349976	0.22282106	Yes	
row_17	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	857	0.465507447719574	0.23628296	Yes	
row_18	PSMB7	proteasome 20S subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:9544]	858	0.4654942452907562	0.25338995	Yes	
row_19	PSMD4	proteasome 26S subunit, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]	860	0.4653370976448059	0.2703327	Yes	
row_20	PSMC5	proteasome 26S subunit, ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9552]	879	0.46226680278778076	0.28446802	Yes	
